Species,Body mass (g),Group size,Testes mass (g)
Acerodon_jubatus,518,325,3.25
Cynopterus_sphinx,35,4,0.36
Dobsonia_praedatrix,224,147.5,1.64
Eidolon_helvum,325,50000,5.5
Eonycteris_spelaea,60,3000,0.798
Epomophorus_gambianus,80,65,0.9
Epomops_franqueti,160,2,0.299
Macroglossus_minimus,15.9,3,0.287
Macroglossus_sobrinus,23,3,0.317
Micropteropus_pusillus,32.5,1.5,0.23
Pteropus_alecto,800,1200,5.1
Pteropus_giganteus,1021,900,8.4
Pteropus_poliocephalus,677,50000,6.75
Pteropus_scapulatus,400,50000,5.3
Pteropus_tonganus,850,3020,3.8
Rousettus_aegyptiacus,142,3000,3.5
Rousettus_amplexicaudatus,91.8,650,0.74
