Taxa,C1,RLGA,logMass
Acinonyx_jubatus,0.019484139,0,0.0345
Ailuropoda_melanoleuca,0.017786504,0.030354843,0.0345
Ailurus_fulgens,0.01708872,0.02916399,0.0345
Aonyx_capensis,0.061614256,0.105152261,0.0345
Aonyx_cinerea,0.023288,0.039743819,0.0345
Arctictis_binturong,0.023288,0.039743819,0.0345
Arctogalidia_trivirgata,0.019484139,0.033252065,0.0345
Arctonyx_collaris,0.020538085,0.035050754,0.0345
Atelocynus_microtis,0.030807128,0.05257613,0.0345
Atilax_paludinosus,0.015908733,0.027150197,0.0345
Bassaricyon_alleni,0.01708872,0.02916399,0.0345
Bassaricyon_gabbii,0.021783929,0.037176938,0.0345
Bassaricyon_medius,0.017786504,0.030354843,0.0345
Bassaricyon_neblina,0.023288,0.039743819,0.0345
Bassariscus_astutus,0.01708872,0.02916399,0.0345
Bassariscus_sumichrasti,0.023288,0.039743819,0.0345
Bdeogale_crassicauda,0.030807128,0.05257613,0.0345
Bdeogale_nigripes,0.043567858,0.074353877,0.0345
Canis_adustus,0.019484139,0.033252065,0.0345
Canis_aureus,0.020538085,0.035050754,0.0345
Canis_latrans,0.019484139,0.033252065,0.0345
Canis_lupus,0.020538085,0.035050754,0.0345
Canis_mesomelas,0.019484139,0.033252065,0.0345
Canis_simensis,0.023288,0.039743819,0.0345
Caracal_caracal,0.023288,0,0.0345
Caracal_serval,0.019484139,0,0.0345
Cerdocyon_thous,0.020538085,0.035050754,0.0345
Chrotogale_owstoni,0.043567858,0.074353877,0.0345
Chrysocyon_brachyurus,0.019484139,0.033252065,0.0345
Civettictis_civetta,0.01708872,0.02916399,0.0345
Conepatus_chinga,0.027554733,0.047025521,0.0345
Conepatus_leuconotus,0.027554733,0.047025521,0.0345
Conepatus_semistriatus,0.020538085,0.035050754,0.0345
Crocuta_crocuta,0.019484139,0.033252065,0.0345
Crossarchus_alexandri,0.035573007,0.060709686,0.0345
Crossarchus_obscurus,0.020538085,0.035050754,0.0345
Crossarchus_platycephalus,0.061614256,0.105152261,0.0345
Cryptoprocta_ferox,0.019484139,0.033252065,0.0345
Cuon_alpinus,0.017786504,0.030354843,0.0345
Cynictis_penicillata,0.015908733,0.027150197,0.0345
Cynogale_bennettii,0.021783929,0.037176938,0.0345
Diplogale_hosei,0.043567858,0.074353877,0.0345
Dusicyon_australis,0.021783929,0.037176938,0.0345
Eira_barbara,0.018577397,0.0317046,0.0345
Eupleres_goudotii,0.023288,0.039743819,0.0345
Felis_chaus,0.020538085,0,0.0345
Felis_margarita,0.061614256,0.105152261,0.0345
Felis_nigripes,0.061614256,0.105152261,0.0345
Felis_silvestris,0.019484139,0,0.0345
Fossa_fossana,0.017786504,0.030354843,0.0345
Galerella_pulverulenta,0.019484139,0.033252065,0.0345
Galerella_sanguinea,0.015908733,0.027150197,0.0345
Galictis_cuja,0.018577397,0.0317046,0.0345
Galictis_vittata,0.023288,0.039743819,0.0345
Galidia_elegans,0.018577397,0.0317046,0.0345
Galidictis_fasciata,0.021783929,0.037176938,0.0345
Genetta_angolensis,0.025153915,0.042928231,0.0345
Genetta_genetta,0.012322851,0.021030452,0.0345
Genetta_maculata,0.012576957,0.021464115,0.0345
Genetta_pardina,0.027554733,0.047025521,0.0345
Genetta_servalina,0.021783929,0.037176938,0.0345
Genetta_thierryi,0.019484139,0.033252065,0.0345
Genetta_tigrina,0.025153915,0.042928231,0.0345
Gulo_gulo,0.019484139,0.033252065,0.0345
Ursus_malayanus,0.019484139,0.033252065,0.0345
Helogale_hirtula,0.018577397,0.0317046,0.0345
Helogale_parvula,0.025153915,0.042928231,0.0345
Hemigalus_derbyanus,0.01708872,0.02916399,0.0345
Herpestes_brachyurus,0.021783929,0.037176938,0.0345
Herpestes_edwardsii,0,0.074353877,0.0345
Herpestes_fuscus,0.023288,0.039743819,0.0345
Herpestes_ichneumon,0.01708872,0.02916399,0.0345
Herpestes_javanicus,0.027554733,0.047025521,0.0345
Herpestes_naso,0.030807128,0.05257613,0.0345
Herpestes_urva,0.020538085,0.035050754,0.0345
Herpestes_vitticollis,0.035573007,0.060709686,0.0345
Hyaena_hyaena,0.019484139,0.033252065,0.0345
Hydrictis_maculicollis,0.043567858,0.074353877,0.0345
Ichneumia_albicauda,0.015908733,0.027150197,0.0345
Ictonyx_libyca,0.027554733,0.047025521,0.0345
Ictonyx_striatus,0.019484139,0.033252065,0.0345
Leopardus_colocolo,0.035573007,0,0.0345
Leopardus_geoffroyi,0.030807128,0,0.0345
Leopardus_guigna,0.035573007,0,0.0345
Leopardus_pardalis,0.019484139,0,0.0345
Leopardus_tigrinus,0.027554733,0,0.0345
Leopardus_wiedii,0.019484139,0,0.0345
Liberiictis_kuhni,0.061614256,0.105152261,0.0345
Lontra_canadensis,0.023288,0.039743819,0.0345
Lontra_felina,0.021783929,0.037176938,0.0345
Lontra_longicaudis,0.027554733,0.047025521,0.0345
Lontra_provocax,0.043567858,0.074353877,0.0345
Lutra_lutra,0.027554733,0.047025521,0.0345
Lutra_sumatrana,0.027554733,0.047025521,0.0345
Lutrogale_perspicillata,0.027554733,0.047025521,0.0345
Lycaon_pictus,0.01708872,0.02916399,0.0345
Lynx_canadensis,0.019484139,0,0.0345
Lynx_lynx,0.030807128,0,0.0345
Lynx_pardinus,0.043567858,0,0.0345
Lynx_rufus,0.019484139,0,0.0345
Martes_americana,0.019484139,0.033252065,0.0345
Martes_flavigula,0.023288,0.039743819,0.0345
Martes_foina,0.023288,0.039743819,0.0345
Martes_martes,0.025153915,0.042928231,0.0345
Martes_melampus,0.035573007,0.060709686,0.0345
Martes_pennanti,0.019484139,0.033252065,0.0345
Martes_zibellina,0.027554733,0.047025521,0.0345
Meles_meles,0.020538085,0.035050754,0.0345
Mellivora_capensis,0.021783929,0.037176938,0.0345
Melogale_moschata,0.018577397,0.0317046,0.0345
Melogale_personata,0.027554733,0.047025521,0.0345
Ursus_ursinus,0.025153915,0.042928231,0.0345
Mephitis_macroura,0.01708872,0.02916399,0.0345
Mephitis_mephitis,0.019484139,0.033252065,0.0345
Mungos_mungo,0.015908733,0.027150197,0.0345
Mungotictis_decemlineata,0.025153915,0.042928231,0.0345
