species,habitat
Anisotremus_caesius,reef
Anisotremus_davidsonii,reef
Anisotremus_dovii,non-reef
Anisotremus_interruptus,reef
Anisotremus_moricandi,reef
Anisotremus_pacifici,non-reef
Anisotremus_scapularis,reef
Anisotremus_surinamensis,reef
Anisotremus_virginicus,reef
Conodon_nobilis,non-reef
Conodon_serrifer,non-reef
Haemulon_album,reef
Haemulon_atlahua_N.sp,reef
Haemulon_aurolineatum,reef
Haemulon_boschmae,reef
Haemulon_carbonarium,reef
Haemulon_chrysargyreum,reef
Haemulon_flaviguttatum,reef
Haemulon_flavolineatum,reef
Haemulon_macrsotomum,reef
Haemulon_maculicauda,reef
Haemulon_melanurum,reef
Haemulon_parra,reef
Haemulon_plumieri,reef
Haemulon_sciurus,reef
Haemulon_scudderi,reef
Haemulon_scudderi_N.sp,reef
Haemulon_sexfasciatum,reef
Haemulon_steindachneri_Atlantic,reef
Haemulon_steindachneri_Pacific,reef
Haemulon_striatum,reef
Haemulopsis_axillaris,non-reef
Haemulopsis_elongatus,non-reef
Haemulopsis_leuciscus,non-reef
Haemulopsis_nitidus,non-reef
Inermia_vittata,reef
Isacia_conceptionis,reef
Microlepidotus_brevipinnis,reef
Microlepidotus_inornatus,reef
Orthopristis_chalceus,non-reef
Orthopristis_chrysoptera,non-reef
Orthopristis_reddingi,non-reef
Orthopristis_ruber,non-reef
Pomadasys_branickii,non-reef
Pomadasys_corvinaeformis,non-reef
Pomadasys_crocro,non-reef
Pomadasys_macracanthus,non-reef
Pomadasys_panamensis,non-reef
Xenichthys_xantii,non-reef
Xenistius_californiensis,reef
