generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.032,0.190078,0.005,0
1000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0737265,-0.000246541,0.0136648,0
1000,Thalassoma_duperrey,Thalassoma_hebraicum,71.5147,0.364484,0.0570182,0.105624,0
2000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0614366,-0.00120751,0.00147921,0
2000,Scarus_compressus,Chlorurus_atrilunula,61.0939,0.224575,-0.00912985,0.000839197,0
3000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0325103,0.03659,0.000881818,0
3000,Scarus_compressus,Chlorurus_atrilunula,60.4443,0.263993,-0.0109229,0.0122226,0
4000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0290059,0.0684379,0.000348907,0
4000,Scarus_compressus,Chlorurus_atrilunula,59.788,0.261103,-0.0145884,0.00969776,0
5000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.027237,0.0465638,0.000288493,0
5000,Scarus_compressus,Chlorurus_atrilunula,61.18,0.439921,-0.0213998,0.118144,0
6000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0748576,-0.00301797,0.00142064,0
6000,Scarus_compressus,Chlorurus_atrilunula,63.0039,0.370624,-0.048336,0.0712051,0
7000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0735581,-0.00403614,0.00175233,0
7000,Scarus_compressus,Chlorurus_atrilunula,57.5412,0.204881,0.0117717,0.0588472,0
8000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.089258,-0.00565999,0.00512539,0
8000,Scarus_compressus,Chlorurus_atrilunula,59.6841,0.266021,-0.0141485,0.0365845,0
9000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0647084,-0.00464181,4.97572e-05,0
9000,Centrolabrus_caeruleus,Symphodus_tinca,71.9511,0.52644,-0.0198801,0.333813,0
9000,Symphodus_doderleini,NA,77.2148,0.0492344,-0.0311507,0.0578186,0
9000,Scarus_compressus,Chlorurus_atrilunula,56.4238,0.221196,0.00509697,0.0390969,0
10000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0838529,-0.00464181,0.00930386,0
10000,Scarus_compressus,Chlorurus_atrilunula,60.189,0.218463,-0.010214,0.0202698,0
11000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0891124,-0.00787404,0.00279026,0
11000,Malapterus_reticulatus,NA,75.9791,0.0657798,0.0010677,1.37297,0
11000,Scarus_compressus,Chlorurus_atrilunula,60.7159,0.290295,-0.0200871,0.0123666,0
12000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0895549,-0.00809454,0.00582863,0
12000,Xyrichtys_splendens,NA,75.854,0.14014,0.00336151,0.0850137,0
12000,Centrolabrus_caeruleus,Symphodus_melanocercus,54.9467,0.270594,0.00762492,0.161889,0
12000,Scarus_compressus,Chlorurus_atrilunula,60.8165,0.251704,-0.0108149,0.0100441,0
12000,Clepticus_parrae,NA,79.2061,0.0659274,-0.0394649,1.70839,0
13000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0900809,-0.00809454,0.000732307,0
13000,Scarus_compressus,Chlorurus_atrilunula,54.616,0.282163,-0.00892348,0.0101969,0
14000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0924851,-0.00707636,0.00142,0
14000,Centrolabrus_caeruleus,Symphodus_melanocercus,48.9702,0.288215,0.00952127,0.246208,0
14000,Scarus_schlegeli,NA,78.5126,0.515026,0.0628772,1.15095,0
14000,Scarus_compressus,Chlorurus_atrilunula,62.2564,0.17713,0.0283215,0.00578167,0
15000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0919459,-0.00743126,0.00126421,0
15000,Scarus_compressus,Chlorurus_atrilunula,63.0402,0.616709,-0.045119,0.229393,0
16000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.114047,-0.00882499,0.00251829,0
16000,Scarus_compressus,Chlorurus_atrilunula,60.0967,0.288109,-0.0229003,0.00680133,0
17000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0932597,-0.00882499,0.000317185,0
17000,Scarus_compressus,Chlorurus_atrilunula,58.9249,0.54161,-0.0384401,0.0708212,0
18000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0872631,-0.00824318,0.000445935,0
18000,Scarus_compressus,Chlorurus_atrilunula,63.0699,0.476566,-0.0357666,0.117947,0
19000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.100388,-0.006722,0.0107633,0
19000,Scarus_compressus,Chlorurus_atrilunula,62.0497,0.307211,-0.0252302,0.0162982,0
20000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0951174,-0.00856982,0.0018354,0
20000,Scarus_compressus,Chlorurus_atrilunula,59.7243,0.367334,-0.0303945,0.0163612,0
21000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.098983,-0.00747637,0.00569674,0
21000,Scarus_compressus,Chlorurus_atrilunula,61.8312,0.379361,-0.0333958,0.049391,0
22000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.09035,-0.00694737,0.0090784,0
22000,Scarus_compressus,Chlorurus_atrilunula,63.2576,0.345777,-0.0280477,0.0110921,0
23000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0798162,-0.00670828,5.09856e-05,0
23000,Scarus_compressus,Chlorurus_atrilunula,59.6764,0.141882,0.0208857,0.0126864,0
24000,Halichoeres_leucurus,Bodianus_bilunulatus,0,0.0308243,0.0539093,0.00254894,0
