generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.5224,-1306.61,1,1
1000,1,2.6516,-1307.89,0.700516,0.280719
2000,1,2.43928,-1273.85,3.09547,0.372314
3000,1,2.89725,-1277.99,1.88887,0.412667
4000,1,2.09914,-1275.5,0.942741,0.452
5000,1,2.43945,-1278.99,1.175,0.454
6000,1,2.64184,-1275.16,1.25657,0.43475
7000,1,4.70347,-1274.54,0.690151,0.4225
8000,1,5.00536,-1274.16,0.228368,0.461
9000,3,7.84249,-1271.74,1.10446,0.456
10000,1,3.67414,-1275.7,1.74919,0.471
11000,2,3.67161,-1270.34,1.5505,0.461
12000,4,6.10382,-1270.35,2.62318,0.467
13000,1,4.37695,-1272.64,0.930098,0.485
14000,3,3.64984,-1270.26,1.05235,0.43725
15000,1,1.54043,-1273.26,1.61479,0.419
16000,1,4.43354,-1274.57,0.580285,0.42
17000,1,3.60314,-1272.67,0.310716,0.417
18000,1,2.96054,-1272.33,1.10953,0.451
19000,1,2.74019,-1273.95,2.1848,0.402
20000,1,2.98335,-1271.18,1.68438,0.402
21000,1,3.948,-1272.4,0.521022,0.406
22000,1,4.61101,-1272.76,0.190504,0.426
23000,1,4.4985,-1273.76,0.944707,0.42659
24000,1,3.085,-1277.58,0.802741,0.459526
25000,2,0.668275,-1276.14,0.545145,0.462
26000,1,0.162015,-1280.18,2.43035,0.4905
27000,1,3.95366,-1279.28,0.274463,0.495
28000,1,1.34025,-1271.72,2.86874,0.4582
29000,2,5.38494,-1275.16,0.86762,0.439
30000,4,10.5645,-1268.48,1.55232,0.492
31000,1,4.16759,-1274.11,0.479784,0.471
32000,1,4.26684,-1274.2,0.716668,0.42
33000,1,4.42824,-1274.48,0.781988,0.456
34000,1,3.9095,-1273.29,1.29119,0.44665
35000,1,4.44828,-1273.28,0.790452,0.4525
36000,1,3.49065,-1273,1.81612,0.49
37000,1,3.23371,-1278.36,0.190126,0.4776
38000,1,2.02967,-1276.86,2.43392,0.435
39000,1,1.06519,-1277.45,0.654031,0.485
40000,1,1.12171,-1280.54,2.00869,0.501
41000,1,1.59663,-1275.78,0.795631,0.481
42000,2,3.33418,-1273.49,1.22506,0.4555
43000,2,6.01314,-1270.89,1.48416,0.444
44000,1,2.56216,-1276.68,0.657989,0.466
45000,2,4.98762,-1270.29,0.520522,0.4145
46000,2,2.55726,-1263.82,3.79758,0.433
47000,2,5.3202,-1267.23,0.376374,0.414
48000,3,6.61995,-1267.15,1.11592,0.436
49000,1,0.782319,-1271.73,0.875831,0.447042
50000,1,2.74378,-1271.18,0.290163,0.418
51000,1,4.69481,-1273.86,0.473889,0.443
52000,1,3.60049,-1274.6,0.918433,0.47
53000,1,0.857199,-1271.5,0.668074,0.454
54000,2,7.01409,-1266.62,0.470541,0.439778
55000,1,3.63337,-1275.78,1.00084,0.442333
56000,1,5.16134,-1271.8,0.266617,0.469
57000,1,0.418206,-1275.78,0.701387,0.456308
58000,1,2.62913,-1278.71,0.867458,0.442
59000,1,1.84712,-1279.57,0.648785,0.443
