generation,rank_1,rank_2,swapAccepted
1000,6,7,1
2000,2,8,0
3000,6,8,1
4000,2,6,1
5000,5,8,1
6000,4,8,1
7000,4,5,1
8000,1,3,1
9000,2,6,1
10000,3,7,0
11000,1,7,1
12000,3,4,1
13000,2,4,1
14000,5,6,1
15000,3,8,1
16000,1,6,1
17000,2,3,1
18000,1,4,0
19000,4,7,1
20000,2,5,1
21000,3,8,1
22000,3,5,1
23000,2,7,1
24000,3,4,1
25000,1,8,1
26000,6,8,1
27000,3,6,1
28000,4,6,1
29000,6,8,1
30000,3,5,1
31000,2,8,1
32000,4,8,1
33000,6,8,1
34000,3,6,1
35000,6,8,1
36000,1,5,1
37000,1,6,1
38000,3,7,1
39000,1,3,1
40000,2,5,1
41000,4,5,1
42000,1,6,0
43000,1,7,1
44000,2,4,1
45000,5,8,1
46000,5,8,1
47000,1,5,1
48000,1,5,1
49000,1,6,1
50000,1,3,1
51000,2,8,1
52000,3,6,1
53000,4,7,1
54000,2,3,1
55000,4,8,0
56000,1,6,1
57000,4,6,1
58000,3,6,1
59000,1,4,1
60000,2,4,1
61000,3,7,1
62000,1,5,1
63000,3,6,1
64000,4,6,1
65000,3,4,1
66000,6,7,1
67000,4,8,1
68000,3,8,1
69000,3,8,1
70000,5,7,1
71000,4,7,1
72000,2,5,1
73000,6,8,1
74000,4,7,1
75000,5,6,1
76000,5,8,1
77000,2,8,1
78000,2,3,1
79000,3,6,1
80000,2,8,1
81000,2,5,1
82000,4,7,1
83000,1,3,1
84000,2,6,1
85000,1,3,1
86000,7,8,1
87000,3,5,1
88000,3,8,0
89000,1,4,1
90000,4,8,1
91000,1,2,1
92000,3,5,1
93000,4,7,1
94000,2,3,1
95000,1,5,1
96000,2,6,1
97000,1,6,1
98000,6,7,1
99000,3,8,1
100000,2,5,1
101000,3,4,1
102000,1,8,1
103000,7,8,1
104000,2,5,1
105000,2,6,1
106000,1,5,1
107000,3,5,1
108000,2,4,1
109000,3,7,1
110000,6,7,1
111000,2,7,1
112000,1,6,1
113000,1,4,1
114000,1,5,1
115000,1,5,1
116000,5,8,1
117000,3,6,1
118000,5,6,1
119000,3,4,1
120000,1,8,1
121000,5,7,1
122000,2,6,1
123000,3,7,1
124000,1,6,1
125000,4,6,1
126000,2,8,1
127000,4,6,1
128000,6,7,1
129000,5,6,1
130000,5,6,1
131000,2,6,1
132000,3,7,1
133000,6,8,1
134000,1,3,1
135000,1,6,1
136000,2,6,1
137000,6,8,1
138000,1,7,1
139000,4,6,1
140000,1,6,0
141000,3,5,1
142000,7,8,1
143000,4,6,1
144000,3,8,1
145000,7,8,1
146000,6,8,1
147000,1,5,0
148000,1,5,1
149000,1,6,1
150000,5,7,1
151000,5,7,1
152000,2,3,1
153000,2,6,1
154000,2,3,1
155000,2,3,1
156000,2,5,1
157000,5,6,1
158000,1,8,1
159000,2,7,1
160000,1,7,1
161000,3,6,1
162000,6,7,1
163000,6,8,1
164000,4,6,1
165000,7,8,1
166000,4,6,1
