generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,t15,T7,0,0.032,0,0.0088285,0
1000,t15,T7,0,0.115774,0.0427005,0.125217,0
1000,T9,T10,24.8138,0.44238,-0.019379,0.583228,0
2000,t15,T7,0,0.0751488,0.00832602,0.000147102,0
2000,t8,NA,20.4464,0.141423,-0.0614634,0.223559,0
2000,T7,T9,23.4299,1.69738,-0.0642316,0.851577,0
3000,t15,T7,0,0.165432,-0.0369586,0.0538224,0
3000,T7,T9,16.8174,0.542535,-0.0150118,0.772523,0
4000,t15,T7,0,0.208423,-0.0588657,0.0121462,0
4000,T7,T9,18.6934,0.575665,0.0131812,0.556977,0
5000,t15,T7,0,0.260159,-0.0376748,0.0575584,0
5000,T7,T9,22.2474,0.835661,-0.00541415,0.866289,0
6000,t15,T7,0,0.312427,-0.0545589,0.136545,0
6000,T7,T9,23.0877,2.19685,-0.0683409,1.97813,0
7000,t15,T7,0,0.343261,-0.0585279,0.0038737,0
7000,T7,T9,1.80064,0.500319,0.0907384,0.693221,0
8000,t15,T7,0,0.139932,-0.05406,0.0127569,0
8000,T7,T9,21.1491,0.962985,-0.0502319,0.589205,0
9000,t15,T7,0,0.249991,-0.0422003,0.0102037,0
9000,t4,NA,16.7255,0.224547,-0.0509451,0.103987,0
9000,T7,T9,8.22,0.102617,-0.0177446,0.540443,0
9000,T7,T9,17.377,0.381125,0.0492199,0.15211,0
10000,t15,T7,0,0.53975,-0.0503371,0.146352,0
10000,T7,T9,13.176,0.556304,0.0670632,1.09989,0
11000,t15,T7,0,0.190046,0.00185973,0.115599,0
11000,T7,T9,17.6631,0.927443,0.0297886,0.957771,0
12000,t15,T7,0,0.182033,-0.0190634,0.0036775,0
12000,T7,T9,8.96007,0.802773,0.0545621,1.3943,0
13000,t15,T7,0,0.104373,-0.0162722,0.0171128,0
13000,t13,t14,21.7572,0.249474,-0.0029577,0.0925052,0
13000,T7,T9,19.6006,1.1573,0.0295423,1.28717,0
14000,t15,T7,0,0.573398,-0.0740097,0.0632614,0
14000,T7,T9,2.436,0.166347,-0.0371701,0.524469,0
14000,T7,T9,17.6618,0.665938,-0.0772505,0.0432284,0
15000,t15,T7,0,0.483592,-0.0538216,0.155322,0
15000,T7,T9,12.2273,0.763197,0.00870781,0.878391,0
16000,t15,T7,0,0.187136,-0.0206711,0.0618631,0
16000,T7,T9,13.8544,0.662667,0.116866,0.700945,0
17000,t15,T7,0,0.123954,-0.00215818,0.0671099,0
17000,T7,T9,11.6478,0.741496,-0.0198871,0.671209,0
18000,t15,T7,0,0.465405,-0.0579106,0.163112,0
18000,T7,T9,8.96383,1.01924,0.00797082,1.29668,0
19000,t15,T7,0,0.258934,-0.0527189,0.0316183,0
19000,T7,T9,14.3073,0.905496,0.0523358,1.51612,0
20000,t15,T7,0,0.184838,-0.0164661,0.123319,0
21000,t15,T7,0,0.250849,-0.0273952,0.0308268,0
21000,T7,T9,16.9327,1.03105,0.00761684,0.037375,0
22000,t15,T7,0,0.093795,0.0173233,0.0188057,0
22000,T7,T9,10.7412,0.851061,0.0132601,1.11698,0
23000,t15,T7,0,0.148683,-0.0101569,0.0126472,0
23000,T7,T9,22.3989,0.639223,-0.00873738,0.360528,0
