generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.50579,-104.94,1,1
1000,1,1.09772,-87.5248,1.07782,0.352
2000,2,-1.47208,-77.7782,1.45165,0.531
3000,1,1.62867,-80.4176,0.187746,0.55
4000,1,0.839936,-78.12,0.802083,0.504
5000,1,0.620402,-77.8203,0.300395,0.532
6000,1,-7.74191,-79.3274,2.08133,0.506
7000,1,-1.64298,-78.7448,0.879892,0.496
8000,1,0.0616678,-79.5245,0.444332,0.503437
9000,3,2.19607,-78.364,2.93748,0.547
10000,1,-2.50799,-78.4922,1.38569,0.541
11000,1,-0.264369,-80.8577,0.998706,0.507318
12000,1,-1.49756,-77.3013,1.23871,0.489
13000,2,1.48313,-77.7172,0.393321,0.53
14000,2,-1.43468,-79.9482,2.00565,0.563
15000,1,-1.86706,-78.1959,1.89841,0.509
16000,1,-3.66938,-79.0873,2.14954,0.499719
17000,1,0.991634,-80.1994,0.995153,0.492
18000,1,-1.65665,-77.8429,0.299738,0.459
19000,1,-2.42176,-76.0971,0.975052,0.421
20000,0,1.69848,-88.862,0.224847,0.473
21000,1,2.14823,-85.3518,0.22152,0.368
22000,1,-0.800161,-78.2788,1.85193,0.521
23000,1,1.83168,-78.7842,1.06142,0.534
24000,1,0.247499,-77.8323,0.86161,0.533
25000,1,-3.1124,-79.3188,1.08872,0.514333
26000,1,1.94004,-81.9254,1.43591,0.515
27000,3,0.344921,-78.0686,2.03566,0.561
28000,1,-0.549662,-77.8645,1.31043,0.57
29000,1,-0.532142,-76.2951,0.425359,0.559
30000,1,-0.326464,-78.3621,0.742729,0.569
31000,1,0.997631,-77.2802,0.674845,0.547
32000,2,3.07204,-74.7886,0.927112,0.52
33000,3,3.83129,-75.3117,1.62835,0.546
34000,1,1.41986,-81.1783,1.9289,0.565
35000,1,-0.356949,-77.163,0.690878,0.555
36000,1,-1.6855,-79.0873,0.708402,0.555583
37000,1,-1.09403,-77.5674,1.06335,0.530409
38000,1,2.16335,-79.106,0.484292,0.533
39000,1,0.289017,-76.6309,0.725456,0.478065
40000,1,1.17572,-77.4947,0.406161,0.526
41000,1,-1.1574,-79.2802,0.686777,0.515
42000,2,0.0517887,-77.3167,0.838207,0.525
43000,1,-0.626639,-76.4408,0.366982,0.52197
44000,1,0.0942865,-78.4668,0.546848,0.532
45000,1,0.704193,-77.7515,0.322998,0.585
46000,1,-4.37837,-78.089,2.987,0.515
47000,1,-0.54047,-78.9633,0.77166,0.516393
48000,1,-1.91699,-79.2284,0.674834,0.5325
49000,1,0.430732,-79.5046,0.416786,0.523846
50000,1,1.33314,-78.7621,0.364483,0.528917
51000,1,1.51255,-80.4145,1.11591,0.524
52000,1,-0.902609,-76.7957,0.0916287,0.573
53000,1,3.15032,-82.2277,0.702011,0.562
54000,2,0.526477,-82.5433,1.31407,0.523
55000,1,1.25246,-80.9327,0.338011,0.542
56000,2,2.19364,-82.8959,0.435861,0.540571
57000,1,-2.21664,-79.1575,0.0621326,0.541
58000,3,3.98869,-77.4966,0.832119,0.572
59000,1,1.61466,-84.4867,1.1289,0.53125
60000,1,-0.149651,-77.5273,0.863378,0.52
61000,2,-4.92741,-79.3703,1.15306,0.53
62000,1,0.609842,-78.615,0.120102,0.490933
63000,1,-1.60913,-78.7219,2.77546,0.5
64000,1,-1.72279,-79.1222,1.64194,0.515
65000,1,-2.52761,-81.8573,0.538665,0.489
66000,1,-4.36229,-78.2383,2.98512,0.425
67000,2,-0.361,-78.9475,0.906335,0.468
68000,5,1.95624,-80.0625,1.99001,0.525
69000,1,-2.21271,-79.2964,1.20584,0.537
70000,1,0.365312,-76.8797,2.49031,0.553
71000,1,1.9253,-78.3185,0.477112,0.518
72000,1,2.56794,-78.9928,0.731914,0.534
73000,1,0.509854,-81.6359,1.12964,0.593
74000,1,2.88654,-81.1601,0.0823936,0.492
75000,1,-1.28576,-77.8381,1.55018,0.524
76000,1,-0.110081,-79.1675,1.08147,0.562
77000,1,-0.945729,-77.9801,1.67277,0.552
78000,1,-0.2357,-78.4895,0.43813,0.538
79000,2,-0.602105,-77.2512,1.01721,0.559
80000,1,-2.90191,-77.5642,1.03136,0.482
81000,2,1.27085,-77.6882,0.385827,0.499
82000,1,-2.55952,-77.4334,2.06368,0.484
83000,1,2.71014,-80.1207,0.286349,0.529
84000,1,-0.453341,-78.9692,0.320155,0.51
85000,1,1.92863,-77.894,0.686874,0.538
86000,1,2.69106,-77.8448,0.390019,0.538
87000,1,-0.236562,-78.3972,0.903443,0.54
88000,1,-1.62942,-82.1545,1.96271,0.517
89000,1,-2.13472,-79.9308,4.0049,0.532821
