generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,1,3,0
3000,1,3,1
4000,1,4,1
5000,2,3,1
6000,2,3,1
7000,2,4,1
8000,1,2,1
9000,1,4,1
10000,2,4,1
11000,1,4,1
12000,3,4,1
13000,1,2,1
14000,2,3,1
15000,3,4,1
16000,1,2,1
17000,1,3,1
18000,1,4,1
19000,2,4,1
20000,2,3,1
21000,1,2,1
22000,2,3,1
23000,1,4,1
24000,1,2,1
25000,1,2,1
26000,1,4,1
27000,3,4,1
28000,2,4,1
29000,2,3,1
30000,2,3,1
31000,2,3,1
32000,2,3,1
33000,1,4,0
34000,2,3,1
35000,3,4,1
36000,1,3,1
37000,1,4,1
38000,1,4,1
39000,1,3,1
40000,3,4,1
41000,1,4,1
42000,3,4,1
43000,1,2,1
44000,2,3,1
45000,1,2,1
46000,3,4,1
47000,3,4,1
48000,3,4,1
49000,2,4,1
50000,1,4,1
51000,1,4,1
52000,1,2,1
53000,1,2,1
54000,1,2,1
55000,2,3,1
56000,3,4,1
57000,3,4,1
58000,3,4,1
59000,3,4,1
60000,1,3,1
61000,2,3,1
62000,1,3,1
63000,1,2,1
64000,3,4,1
65000,2,4,1
66000,1,4,1
67000,1,2,1
68000,1,3,1
69000,2,3,1
70000,2,3,1
71000,1,4,1
72000,1,3,1
73000,2,3,1
74000,1,2,1
75000,2,4,1
76000,1,3,1
77000,3,4,1
78000,1,2,1
79000,2,3,1
80000,1,3,1
81000,1,2,1
82000,2,3,1
83000,1,2,1
84000,1,2,1
85000,2,3,1
86000,1,3,1
87000,3,4,1
88000,2,4,1
89000,2,4,1
90000,3,4,1
91000,1,2,1
92000,3,4,1
93000,1,4,1
94000,2,3,1
95000,1,2,1
96000,1,4,1
97000,1,3,1
98000,1,4,1
99000,1,2,1
100000,2,3,1
101000,1,2,1
102000,1,3,1
103000,2,4,1
104000,1,4,1
105000,1,2,1
106000,1,4,1
107000,2,4,1
108000,1,3,1
109000,1,4,1
110000,3,4,1
111000,1,3,1
112000,3,4,1
113000,1,4,1
114000,1,3,1
115000,1,3,1
116000,1,2,1
117000,1,2,1
118000,2,3,1
119000,3,4,1
120000,1,3,1
121000,1,3,1
122000,2,3,1
123000,2,4,1
124000,1,3,1
125000,1,2,0
126000,3,4,1
127000,3,4,1
128000,1,4,1
129000,2,3,1
130000,2,4,0
131000,1,2,1
132000,3,4,1
133000,1,2,0
134000,1,2,1
135000,1,3,1
136000,1,2,1
137000,1,3,1
138000,2,3,1
139000,1,3,1
140000,2,4,1
141000,1,2,1
142000,1,2,1
143000,1,2,1
144000,1,2,1
145000,2,4,1
146000,2,3,1
147000,1,2,1
148000,1,4,1
149000,2,4,1
150000,2,4,1
151000,2,4,1
152000,3,4,1
153000,3,4,1
154000,2,3,1
155000,1,4,1
156000,2,3,1
157000,1,3,1
158000,1,3,1
159000,1,2,1
160000,1,4,1
161000,1,2,1
162000,2,3,1
163000,3,4,1
164000,3,4,1
165000,2,3,1
166000,1,4,1
167000,2,4,1
168000,3,4,1
169000,1,3,1
170000,1,3,1
171000,1,4,0
172000,1,3,1
173000,1,3,1
174000,1,3,1
175000,1,4,1
176000,1,2,1
177000,2,4,1
178000,2,3,1
179000,2,4,1
180000,1,3,0
181000,2,4,1
182000,1,3,1
183000,2,4,1
184000,2,3,1
185000,1,4,1
186000,1,2,1
187000,3,4,1
188000,1,3,1
189000,1,3,1
190000,1,3,1
191000,1,3,1
192000,1,4,1
193000,1,3,1
194000,1,3,1
195000,1,2,1
196000,2,4,1
197000,1,3,1
198000,1,4,1
199000,1,3,1
200000,1,3,1
201000,1,2,1
202000,3,4,1
203000,2,4,1
204000,3,4,1
205000,2,3,1
206000,3,4,1
207000,1,3,1
208000,1,2,1
209000,1,2,1
210000,3,4,1
211000,2,4,1
212000,1,4,1
213000,3,4,1
214000,1,4,1
215000,1,4,1
216000,2,4,1
217000,2,3,1
218000,3,4,1
219000,1,4,1
220000,3,4,0
221000,1,3,1
222000,1,4,1
223000,2,4,1
224000,1,4,1
225000,3,4,0
226000,1,4,1
227000,1,4,1
228000,1,2,1
229000,1,3,1
230000,2,4,1
231000,1,3,1
232000,1,3,1
233000,3,4,1
234000,1,3,1
235000,3,4,1
236000,2,4,1
237000,2,3,1
238000,3,4,1
239000,2,4,0
240000,1,3,1
241000,2,4,1
242000,1,4,1
243000,1,2,1
244000,3,4,1
245000,1,4,1
246000,2,3,1
247000,1,2,1
248000,2,3,1
249000,3,4,1
250000,1,3,1
251000,1,3,1
252000,2,3,1
253000,1,2,1
254000,2,3,1
255000,1,3,1
256000,2,3,1
257000,1,2,1
258000,1,2,1
259000,1,4,1
260000,2,4,1
261000,2,3,1
262000,3,4,1
263000,3,4,1
264000,2,3,1
265000,1,4,1
266000,1,2,1
267000,1,4,1
268000,3,4,1
269000,3,4,1
270000,1,4,1
271000,1,4,1
272000,1,2,1
273000,1,2,1
274000,3,4,1
275000,2,3,1
276000,1,4,1
277000,2,4,1
278000,1,3,1
279000,2,3,1
280000,1,3,1
281000,3,4,1
282000,2,3,1
283000,2,3,1
284000,3,4,1
285000,2,4,1
286000,3,4,1
287000,3,4,1
288000,1,2,1
289000,2,3,1
290000,1,2,1
291000,3,4,1
292000,2,3,1
293000,2,3,1
294000,1,4,1
295000,2,4,1
296000,1,4,1
297000,2,4,1
298000,1,4,1
299000,1,4,1
300000,2,4,1
301000,2,3,1
302000,1,4,1
303000,2,3,1
304000,1,2,1
305000,2,4,1
306000,1,4,1
307000,1,4,1
308000,1,4,1
309000,1,3,1
310000,1,3,1
311000,2,3,1
312000,2,3,1
313000,1,4,1
314000,1,4,0
315000,2,3,1
316000,2,4,1
317000,1,4,1
318000,2,4,1
319000,2,4,1
320000,1,3,1
321000,2,4,1
322000,1,4,1
323000,1,3,1
324000,2,4,1
325000,3,4,1
326000,2,3,1
327000,1,4,1
328000,2,4,1
329000,3,4,1
330000,1,2,1
331000,1,2,1
332000,1,3,1
333000,2,4,1
334000,3,4,1
335000,1,3,1
336000,1,4,1
337000,1,3,1
338000,2,3,1
339000,2,3,1
340000,1,3,1
341000,1,3,1
342000,2,4,1
343000,1,2,1
344000,1,2,1
345000,2,3,1
346000,3,4,1
347000,1,4,1
348000,2,3,1
349000,1,4,1
350000,2,4,1
351000,2,4,1
352000,1,4,1
353000,2,4,1
354000,1,3,1
355000,2,3,1
356000,1,3,1
357000,2,3,1
358000,1,2,1
359000,1,3,1
360000,2,4,1
361000,1,2,1
362000,1,3,1
363000,2,4,1
364000,1,2,1
365000,1,4,1
366000,3,4,1
367000,1,4,1
368000,1,3,1
369000,1,2,1
370000,2,3,1
371000,1,3,1
372000,3,4,1
373000,2,3,1
374000,2,4,1
375000,1,2,1
376000,1,3,1
377000,1,4,1
378000,3,4,1
379000,1,3,1
380000,1,3,1
381000,2,3,1
382000,1,4,0
383000,3,4,1
384000,2,4,1
385000,2,3,1
386000,1,4,1
387000,2,4,1
388000,1,2,1
389000,3,4,1
390000,1,2,1
391000,3,4,1
392000,1,2,1
393000,3,4,1
394000,3,4,1
395000,2,3,1
396000,3,4,1
397000,1,3,1
398000,3,4,1
399000,2,4,1
400000,1,4,1
401000,2,4,1
402000,3,4,1
403000,1,3,1
404000,1,2,1
405000,3,4,1
406000,2,3,1
407000,1,2,1
408000,3,4,1
409000,2,3,1
410000,3,4,1
411000,2,3,1
412000,1,3,1
413000,1,3,1
414000,3,4,1
415000,1,4,0
416000,1,4,1
417000,3,4,1
418000,3,4,1
419000,1,4,1
420000,1,3,1
421000,1,4,1
422000,3,4,1
423000,1,4,1
424000,1,4,1
425000,1,4,1
426000,1,3,1
427000,1,3,1
428000,2,4,1
429000,2,3,1
430000,3,4,1
431000,2,4,1
432000,2,4,1
433000,2,4,1
434000,2,3,1
435000,2,4,1
436000,3,4,1
437000,3,4,1
438000,1,4,1
439000,2,4,1
440000,2,4,1
441000,2,4,1
442000,1,4,0
443000,1,4,1
444000,3,4,1
445000,1,2,1
446000,1,3,0
447000,1,2,0
448000,1,3,1
449000,1,4,1
450000,3,4,1
451000,2,3,1
452000,1,2,1
453000,3,4,1
454000,1,2,0
455000,2,3,1
456000,3,4,1
457000,1,3,1
458000,3,4,1
459000,2,4,1
460000,3,4,0
461000,1,2,1
462000,2,3,1
463000,1,2,1
464000,1,2,1
465000,2,4,0
466000,2,3,1
467000,2,3,1
468000,1,3,1
469000,1,2,1
470000,1,4,1
471000,2,4,1
472000,1,3,1
473000,1,3,1
474000,1,2,1
475000,2,4,1
476000,3,4,1
477000,1,2,1
478000,1,4,1
479000,2,3,1
480000,1,2,1
481000,1,4,1
482000,2,4,1
483000,2,3,1
484000,3,4,1
485000,1,2,1
486000,2,4,1
487000,3,4,1
488000,2,4,1
489000,1,4,1
490000,1,2,1
491000,2,3,1
492000,2,4,1
493000,1,3,1
494000,2,4,1
495000,1,4,1
496000,2,4,1
497000,2,4,1
498000,1,3,1
499000,1,4,0
500000,3,4,1
501000,3,4,1
502000,2,3,1
503000,1,4,1
504000,1,4,1
505000,1,3,1
506000,1,2,1
507000,1,3,1
508000,2,3,1
509000,2,4,1
510000,3,4,1
511000,1,2,1
512000,2,3,1
513000,2,4,1
514000,1,2,1
515000,2,4,1
516000,1,3,1
517000,1,2,1
518000,1,2,1
519000,3,4,1
520000,2,4,1
521000,1,4,1
522000,1,3,1
523000,2,4,1
524000,1,4,1
525000,1,4,1
526000,2,4,1
527000,3,4,1
528000,3,4,1
529000,3,4,1
530000,3,4,0
531000,1,2,1
532000,1,2,1
533000,3,4,1
534000,2,4,1
535000,1,4,1
536000,1,4,1
537000,2,3,1
538000,1,4,1
539000,1,2,1
540000,2,3,1
541000,1,4,1
542000,1,4,1
543000,2,4,1
544000,1,3,1
545000,1,2,1
546000,2,4,1
547000,1,3,1
548000,2,4,1
549000,1,2,1
550000,1,4,1
551000,1,2,1
552000,2,3,1
553000,1,4,1
554000,2,4,0
555000,1,4,1
556000,3,4,1
557000,2,4,1
558000,3,4,1
559000,1,2,1
560000,1,2,1
561000,1,4,1
562000,2,4,1
563000,1,2,1
564000,1,2,1
565000,1,2,1
566000,3,4,1
567000,2,3,1
568000,2,3,1
569000,1,3,1
570000,2,4,1
571000,3,4,1
572000,2,3,1
573000,1,4,1
574000,2,4,1
575000,1,3,1
576000,1,3,1
577000,1,4,1
578000,1,4,1
579000,1,3,1
580000,1,3,1
581000,1,4,1
582000,1,3,1
583000,2,4,1
584000,3,4,1
585000,1,4,0
586000,2,3,1
587000,2,3,1
588000,1,4,1
589000,3,4,1
590000,1,4,1
591000,1,3,1
592000,1,4,1
593000,1,3,1
594000,3,4,1
595000,1,3,1
596000,1,4,1
597000,2,4,1
598000,1,2,1
599000,2,4,1
600000,2,3,1
601000,3,4,1
602000,1,3,1
603000,2,4,0
604000,1,4,0
605000,2,3,1
606000,1,2,1
607000,2,3,1
608000,1,3,1
609000,2,4,1
610000,1,4,1
611000,2,4,1
612000,3,4,1
613000,1,2,1
614000,1,2,1
615000,1,2,1
616000,1,4,1
617000,3,4,1
618000,1,2,1
619000,2,3,1
620000,3,4,1
621000,1,3,1
622000,1,2,1
623000,1,4,1
624000,1,3,1
625000,3,4,0
626000,1,4,1
627000,1,4,1
628000,2,3,1
629000,1,2,1
630000,1,3,1
631000,1,2,1
632000,2,3,1
633000,3,4,1
634000,2,4,1
635000,1,3,1
636000,2,3,1
637000,1,3,1
638000,2,3,1
639000,1,4,1
640000,1,2,1
641000,2,3,1
642000,1,4,1
643000,1,3,1
644000,2,3,1
645000,3,4,1
646000,1,4,1
647000,1,4,0
648000,1,3,1
649000,1,3,1
650000,2,4,1
651000,1,3,1
652000,1,3,1
653000,3,4,1
654000,1,2,1
655000,1,2,1
656000,1,3,1
657000,1,2,1
658000,1,2,1
659000,2,4,1
660000,1,2,1
661000,2,3,1
662000,1,3,0
663000,1,2,1
664000,2,4,1
665000,3,4,1
666000,2,3,1
667000,1,4,1
668000,1,3,1
669000,2,4,1
670000,2,3,1
671000,2,4,1
672000,1,3,1
673000,2,4,1
674000,2,4,1
675000,2,4,1
676000,2,3,1
677000,1,4,1
678000,1,3,1
679000,1,2,1
680000,3,4,1
681000,3,4,1
682000,3,4,1
683000,1,4,1
684000,2,4,1
685000,2,3,1
686000,1,3,1
687000,3,4,1
688000,2,4,1
689000,1,4,1
690000,2,4,1
691000,2,3,1
692000,2,4,1
693000,3,4,1
694000,1,3,1
695000,1,2,1
696000,1,2,1
697000,2,3,1
698000,2,4,1
699000,3,4,1
700000,1,2,1
701000,1,2,1
702000,1,4,1
703000,1,4,1
704000,3,4,1
705000,2,3,1
706000,1,2,1
707000,3,4,1
708000,1,3,1
709000,1,4,1
710000,1,4,1
711000,1,2,1
712000,3,4,1
713000,1,4,0
714000,1,3,1
715000,1,4,1
716000,1,2,1
717000,2,4,1
718000,2,4,1
719000,3,4,0
720000,1,4,1
721000,1,4,1
722000,1,3,1
723000,2,4,1
724000,3,4,1
725000,2,3,1
726000,2,4,1
727000,2,3,1
728000,2,4,0
729000,2,4,1
730000,2,3,1
731000,3,4,1
732000,2,3,1
733000,2,3,1
734000,2,3,1
735000,3,4,1
736000,1,4,1
737000,1,2,1
738000,2,3,1
739000,1,2,1
740000,2,4,1
741000,1,4,1
742000,2,3,1
743000,3,4,1
744000,1,2,1
745000,1,4,1
746000,2,4,1
747000,2,4,1
748000,2,4,1
749000,2,3,1
750000,2,4,1
751000,1,3,1
752000,1,3,1
753000,1,4,1
754000,2,3,0
755000,1,4,0
756000,3,4,1
757000,3,4,1
758000,2,4,1
759000,3,4,1
760000,1,4,1
761000,2,3,1
762000,1,3,1
763000,1,3,1
764000,1,4,1
