generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.032,0,0.005,0
1000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0842918,0.019378,0.0360237,0
2000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.139586,-0.00232235,0.0334961,0
3000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.09614,0.0218942,0.0420458,0
4000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.126913,-0.00175294,0.01481,0
5000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.153939,-0.0102337,0.011321,0
6000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0680169,0.0405748,0.0201366,0
7000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.103545,0.0103449,0.022957,0
8000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.129041,0.00575099,0.0386122,0
9000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0603469,0.0593231,0.0141082,0
10000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.151819,0.00251219,0.0980022,0
11000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.221642,-0.00679445,0.0660705,0
12000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.171461,-0.00432905,0.0818863,0
13000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.091463,0.00838793,0.0266132,0
14000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0960375,0.0245815,0.0132478,0
15000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0812901,0.0283808,0.00712309,0
16000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0719011,0.040221,0.0170898,0
17000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0868758,0.0242906,0.0327367,0
18000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.148856,-0.00806589,0.0151145,0
19000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0798316,0.0653777,0.0329631,0
20000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0826188,0.0343996,0.0157328,0
21000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.102331,0.0119413,0.00704232,0
21000,Balaena_mysticetus,Eubalaena_australis,29.1735,0.388943,0.0526775,0.474143,0
22000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.111833,0.0033113,0.0196704,0
23000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.107295,0.018353,0.0561095,0
24000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0987415,0.0082602,0.0405367,0
25000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.0792127,0.00742678,0.00420878,0
25000,Physeter_catodon_X75589,NA,27.6334,0.212866,0.0228984,0.362672,0
25000,Stenella_longirostris_AF084103,Feresa_attenuata_AF084052,27.3031,0.416795,-0.0256316,0.0472732,0
26000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.1118,-0.00888906,0.0223729,0
26000,Stenella_longirostris_AF084103,Orcaella_brevirostris_AF084063,22.475,0.197706,0.0313716,0.0656508,0
27000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.139699,-0.0194148,0.0195344,0
27000,Berardius_bairdii_X92541,NA,36.2233,0.134322,-0.031235,0.793256,0
27000,Mesoplodon_bowdoini_AY579536,NA,36.1592,0.715199,0.0139631,1.34595,0
27000,Stenella_longirostris_AF084103,Orcaella_brevirostris_AF084063,25.6638,0.34247,-0.0452276,0.0983995,0
28000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.158608,-0.0259971,0.0224167,0
28000,Stenella_longirostris_AF084103,Orcaella_brevirostris_AF084063,25.7827,0.352641,-0.0405897,0.00828266,0
28000,Berardius_bairdii_X92541,NA,35.1106,0.085331,-0.0262766,0.122384,0
29000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.217631,-0.034525,0.00271158,0
29000,Stenella_longirostris_AF084103,Orcaella_brevirostris_AF084063,25.3516,0.517377,-0.0184475,0.27164,0
