generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,2.01143,-266.437,1,0
1000,0,2.499,-226.517,0.146978,0.340659
2000,0,2.55517,-225.927,0.171205,0.366
3000,0,2.27923,-226.403,0.276397,0.373
4000,0,1.64246,-225.897,1.15016,0.370157
5000,0,2.68296,-226.458,0.00868055,0.298
6000,0,1.97994,-226.151,0.0808545,0.281
7000,0,2.67197,-225.939,0.0988983,0.311
8000,0,1.73199,-226.693,0.991447,0.3254
9000,0,1.06039,-226.203,0.0680516,0.351628
10000,0,1.84906,-227.489,0.717653,0.315
11000,0,2.08508,-229.216,0.382585,0.3255
12000,0,1.65908,-226.537,0.893945,0.289
13000,0,2.58663,-226.455,0.220528,0.317
14000,0,2.18375,-227.401,0.36777,0.329
15000,0,2.3736,-226.017,0.117992,0.341
16000,0,1.77711,-225.879,0.296606,0.316167
17000,0,2.09051,-226.122,0.446874,0.338333
18000,0,2.31362,-226.235,0.401044,0.323667
19000,0,0.244586,-226.823,0.417015,0.313
20000,0,2.11119,-226.318,0.165943,0.392
21000,1,1.58247,-225.305,1.07997,0.3212
22000,0,2.50109,-225.769,0.308675,0.373
23000,0,2.11268,-226.813,0.463752,0.323
24000,0,2.20971,-226.603,0.554551,0.341857
25000,2,4.04839,-216.731,2.25225,0.365
26000,1,4.26558,-218.559,0.540755,0.41675
27000,3,1.54974,-219.284,1.51506,0.493
28000,2,4.61008,-217.471,1.55332,0.543
29000,1,2.4807,-219.323,0.815795,0.497
30000,1,3.33725,-219.799,1.17983,0.489
31000,3,5.38978,-221.714,1.60683,0.52
32000,1,2.47312,-220.678,1.08306,0.498
33000,1,3.98449,-216.331,0.633835,0.482
34000,1,4.59404,-216.691,0.268714,0.513
35000,1,1.28751,-217.872,0.298544,0.471
36000,0,-0.465565,-228.702,2.88807,0.32475
37000,0,1.55921,-226.716,0.985972,0.317471
38000,0,2.5883,-225.965,0.123696,0.43
39000,1,4.29261,-218.914,0.197672,0.50175
40000,1,3.83847,-219.538,1.22156,0.505
41000,0,1.87942,-225.991,0.885722,0.319
42000,0,1.53947,-230.149,1.19906,0.311
43000,0,0.386795,-226.302,2.34684,0.483889
44000,0,2.04362,-225.75,0.103218,0.461
45000,0,1.74158,-227.03,0.860582,0.3178
46000,0,2.59929,-226.199,0.010526,0.328
47000,0,-1.39274,-226.743,1.21855,0.346
48000,0,2.4196,-226.4,0.327609,0.327
49000,0,1.37376,-226.375,1.19286,0.312
50000,0,2.49702,-226.731,0.325205,0.292167
51000,0,1.91059,-225.858,0.478972,0.3265
52000,0,0.303221,-229.459,1.67071,0.2982
53000,0,2.46665,-226.056,0.38873,0.334
54000,0,2.69511,-225.964,0.0138698,0.2825
55000,0,1.077,-226.965,1.48168,0.366
56000,0,2.59088,-228.535,0.109749,0.32
57000,0,1.60042,-226.778,0.872028,0.269
58000,0,2.31243,-226.274,0.352308,0.25
59000,0,2.52536,-226.369,0.0849838,0.293
60000,0,2.33273,-225.708,0.482611,0.299286
61000,0,1.9016,-226.706,0.256671,0.333
62000,0,1.32796,-226.137,1.14174,0.32352
63000,0,2.54375,-226.836,0.130783,0.3205
64000,0,2.3255,-226.629,0.0772655,0.287
65000,0,2.50113,-225.777,0.299991,0.257
66000,0,1.50128,-225.823,1.26165,0.32725
67000,1,2.94349,-226.19,1.48247,0.332667
68000,0,0.580565,-227.319,0.0408233,0.323333
69000,0,-0.433911,-226.138,3.11548,0.42
70000,0,1.21061,-226.137,0.140848,0.324
71000,0,1.98873,-226.351,0.460409,0.318167
72000,0,1.7628,-227.437,0.891284,0.3178
73000,0,1.85241,-226.653,0.109696,0.335
74000,0,1.61643,-227.73,0.356345,0.303333
75000,0,2.68841,-226.614,0.0453289,0.344
76000,0,1.15033,-226.319,1.03769,0.3322
77000,0,2.75676,-226.529,0.0903624,0.329
78000,0,1.48993,-228.236,0.485293,0.315625
79000,0,1.94993,-226.363,0.52818,0.25
80000,0,2.13683,-226.124,0.588637,0.327
81000,0,2.08398,-226.441,0.553557,0.30025
82000,0,2.36968,-230.941,0.0366355,0.269
83000,0,2.1621,-226.273,0.317025,0.33775
84000,0,2.45617,-226.164,0.268445,0.328
85000,0,2.14137,-227.917,0.472944,0.367
86000,0,1.82592,-228.329,0.120159,0.293333
87000,0,1.72204,-228.352,0.189252,0.222
88000,0,1.54939,-229.76,0.568499,0.256
89000,0,1.5256,-228.843,0.55376,0.272
90000,2,5.09746,-231.091,0.853163,0.309
91000,0,1.85567,-226.542,0.531311,0.312364
92000,0,1.56538,-228.252,0.288675,0.231
93000,0,2.08211,-227.687,0.624577,0.254125
94000,0,1.94127,-227.601,0.844829,0.255
95000,1,4.10491,-218.055,0.22182,0.3679
96000,0,2.41587,-226.594,0.356584,0.3055
97000,0,2.32073,-226.519,0.0438528,0.309143
98000,1,1.55513,-221.754,0.763427,0.488333
99000,1,3.70156,-222.618,0.281807,0.3326
100000,1,2.82498,-217.745,0.953042,0.443
101000,1,3.59295,-218.977,0.509098,0.341
102000,2,3.59176,-221.995,1.52555,0.4975
103000,1,1.38512,-223.612,1.09241,0.474
104000,1,1.73593,-217.597,2.81928,0.4885
105000,1,3.64697,-218.193,1.30136,0.46
106000,2,5.96877,-219.471,0.820516,0.500333
107000,1,4.42111,-217.608,0.909553,0.457
108000,1,4.56847,-216.896,0.502009,0.488429
109000,1,3.54492,-220.751,0.860378,0.4986
110000,1,3.58548,-220.94,0.485194,0.487
111000,0,2.3242,-226.58,0.0833103,0.455
112000,0,0.28608,-228.182,2.02064,0.322
113000,0,1.02422,-226.267,0.0835426,0.395333
114000,0,2.07486,-226.312,0.650546,0.355
115000,0,1.7231,-227.094,1.11617,0.298
116000,0,2.29361,-225.84,0.527908,0.418182
117000,0,2.78418,-227.146,0.0542408,0.3395
118000,1,4.83412,-221.187,0.57564,0.363
119000,1,3.16883,-220.686,0.871365,0.472
120000,0,1.91982,-227.607,0.567582,0.30675
121000,1,2.98202,-218.524,1.13948,0.4795
122000,1,3.53035,-220.528,0.852141,0.501
123000,1,3.90079,-218.923,0.894717,0.478
124000,1,2.48308,-221.365,0.931022,0.3917
125000,1,1.09116,-218.742,1.6276,0.446
126000,1,2.02099,-219.445,2.25283,0.482
127000,2,4.12302,-221.407,0.973097,0.47
128000,2,4.9147,-222.196,1.63508,0.46225
129000,1,2.738,-220.517,1.27888,0.518
130000,2,4.45343,-220.053,0.990676,0.506
131000,1,3.97227,-217.882,1.08757,0.48825
132000,1,4.19856,-218.294,0.945533,0.488
133000,1,2.63945,-219.272,1.84745,0.516
134000,1,3.73413,-219.687,1.18607,0.4685
135000,0,2.17846,-226.315,0.146219,0.386125
136000,2,4.45238,-220.517,2.20505,0.501667
137000,1,2.6096,-221.247,1.08947,0.469333
138000,2,1.54836,-218.757,1.38477,0.494
139000,1,4.58268,-216.267,0.332853,0.35575
140000,1,2.67745,-217.992,0.460376,0.473
141000,1,3.77607,-221.851,0.615054,0.4174
142000,1,2.06954,-221.787,0.415063,0.459
143000,2,7.53588,-218.271,0.365676,0.492
144000,1,4.06615,-219.143,0.52772,0.489
145000,2,4.15877,-218.595,1.28938,0.485
146000,1,2.63985,-218.86,0.628401,0.499
147000,1,4.34325,-218.77,0.394204,0.483667
148000,1,3.42581,-218.489,1.06974,0.5138
149000,1,3.5565,-222.172,0.798435,0.525
150000,1,4.76131,-219.185,0.202889,0.503
151000,1,-0.0504162,-218.721,1.50443,0.445
152000,2,1.90716,-217.786,3.26719,0.449
153000,1,3.62905,-219.657,0.753971,0.484
154000,1,3.03942,-218.172,1.66854,0.484
155000,0,2.28609,-229.143,0.125042,0.432889
156000,0,1.40042,-225.824,1.33795,0.338
157000,0,2.58821,-225.753,0.191138,0.445476
158000,0,0.65641,-227.571,1.86634,0.3315
159000,0,1.97937,-227.102,0.467193,0.482917
160000,1,2.71137,-219.522,0.554049,0.4935
161000,1,0.773228,-226.679,1.20762,0.350333
162000,1,0.481337,-226.533,2.87189,0.4
163000,0,1.69974,-227.557,0.419298,0.323
164000,0,1.70932,-225.928,0.857103,0.398
165000,0,1.8113,-226.791,0.0310712,0.33
166000,0,2.34317,-227.427,0.0492992,0.341857
167000,0,2.04524,-227.125,0.591857,0.325
168000,0,2.30334,-226.348,0.277887,0.328
169000,1,3.72604,-222.042,1.12444,0.486
170000,1,4.54381,-219.857,0.2465,0.4105
171000,2,5.75418,-218.814,0.445053,0.517
172000,1,3.27161,-216.897,0.739555,0.488667
173000,1,4.88533,-221.561,0.699659,0.5295
174000,1,3.91229,-215.651,0.318953,0.4795
175000,0,2.17469,-227.246,0.111927,0.380944
176000,1,4.34739,-217.819,0.511255,0.419273
177000,1,2.70321,-220.553,0.344489,0.502
178000,1,3.69043,-216.264,1.04554,0.485
179000,1,3.04653,-217.994,1.43339,0.475
180000,1,2.353,-220.362,1.05633,0.473
181000,1,2.59319,-225.205,1.06885,0.463
182000,0,1.4902,-228.336,0.096034,0.400625
183000,0,1.62085,-227.64,0.220124,0.255
184000,0,1.78143,-228.987,0.217168,0.266
185000,1,-0.576154,-219.629,2.0586,0.488917
186000,1,3.64666,-218.869,0.402502,0.4922
187000,1,4.50084,-219.476,0.109591,0.475
188000,1,2.6809,-221.165,2.06877,0.35725
189000,1,3.0829,-220.639,0.106409,0.4805
190000,1,4.48622,-217.54,0.652305,0.5145
191000,1,2.60607,-221.907,0.720478,0.4855
192000,2,6.23303,-219.586,0.302902,0.454412
193000,0,1.90363,-226.478,0.775883,0.461
194000,1,-2.42887,-218.256,2.38163,0.4935
195000,1,3.77676,-219.564,1.05905,0.4906
196000,1,2.74143,-217.535,0.917408,0.51
197000,0,2.27275,-226.486,0.118407,0.26175
198000,3,6.03831,-218.126,3.01311,0.512
199000,3,7.89074,-218.481,1.59597,0.51
200000,1,4.179,-218.643,0.824636,0.495
201000,1,2.51985,-220.423,1.7568,0.5127
202000,1,1.91453,-218.239,1.57542,0.467
203000,2,6.64029,-219.692,0.498937,0.534
