generation,rank_1,rank_2,swapAccepted
1000,2,3,0
2000,1,2,1
3000,2,4,0
4000,3,6,1
5000,5,6,1
6000,3,4,0
7000,5,6,1
8000,4,5,1
9000,6,8,0
10000,6,8,0
11000,3,8,0
12000,2,3,0
13000,3,8,0
14000,3,8,0
15000,1,3,0
16000,3,4,0
17000,3,4,1
18000,6,8,0
19000,1,2,1
20000,4,6,0
21000,2,7,0
22000,1,6,0
23000,1,2,1
24000,3,5,1
25000,4,5,1
26000,4,5,1
27000,2,4,0
28000,2,7,0
29000,1,2,0
30000,1,6,0
31000,4,8,0
32000,2,8,0
33000,5,7,0
34000,2,6,0
35000,4,5,0
36000,7,8,1
37000,1,5,0
38000,5,7,0
39000,1,6,0
40000,2,5,0
41000,2,5,0
42000,2,6,0
43000,4,7,0
44000,2,4,0
45000,1,4,0
46000,1,4,0
47000,1,2,1
48000,3,5,0
49000,6,7,1
50000,5,8,0
51000,2,5,0
52000,2,4,1
53000,2,3,1
54000,1,3,0
55000,3,8,0
56000,4,7,0
57000,3,7,0
58000,4,5,1
59000,2,3,0
60000,4,6,0
61000,1,8,0
62000,4,8,0
63000,4,6,1
64000,4,6,1
65000,6,7,1
66000,4,5,1
67000,6,7,1
68000,1,7,0
69000,2,5,0
70000,3,8,0
71000,2,3,0
72000,3,7,0
73000,6,8,1
74000,2,4,0
75000,1,7,0
76000,2,3,0
77000,1,6,0
78000,2,3,0
79000,1,7,0
80000,4,5,1
81000,2,3,0
82000,4,5,1
83000,2,7,0
84000,4,8,0
85000,2,7,0
86000,2,8,0
87000,5,8,0
88000,6,7,0
89000,6,7,1
90000,2,5,0
91000,2,7,0
92000,1,2,1
93000,1,6,0
94000,4,5,0
95000,5,7,0
96000,4,6,0
97000,3,6,0
98000,1,8,0
99000,2,8,0
100000,2,6,0
101000,2,4,0
102000,1,6,0
103000,2,5,0
104000,4,8,0
105000,4,7,0
106000,4,7,0
107000,5,6,1
108000,1,2,0
109000,4,8,0
110000,1,7,0
111000,4,7,0
112000,3,5,0
113000,2,3,0
114000,3,5,0
115000,5,7,0
116000,1,4,0
117000,4,5,1
118000,1,5,0
119000,2,5,0
120000,1,4,0
121000,3,6,0
122000,1,2,0
123000,3,4,0
124000,1,5,0
125000,2,3,1
126000,2,7,0
127000,4,5,1
128000,6,7,0
129000,6,7,1
130000,4,7,0
131000,5,8,0
132000,3,5,0
133000,1,8,0
134000,1,7,0
135000,4,8,0
136000,4,7,0
137000,2,7,0
138000,1,2,1
139000,2,3,1
140000,6,8,0
141000,1,6,0
142000,5,7,0
143000,4,7,0
144000,1,8,0
145000,3,7,0
146000,2,7,0
147000,2,6,1
148000,1,6,0
149000,6,8,0
150000,1,5,0
151000,2,5,0
152000,3,7,0
153000,5,7,1
154000,2,7,0
155000,3,8,0
156000,6,8,0
157000,3,7,0
158000,6,7,1
159000,5,8,0
160000,3,8,0
161000,4,8,0
162000,6,7,1
163000,4,5,0
164000,2,5,1
165000,3,7,0
166000,4,8,0
167000,1,6,0
168000,1,5,0
169000,4,7,0
170000,2,3,1
171000,1,5,0
172000,1,6,0
173000,6,7,1
174000,3,7,1
175000,5,7,0
176000,4,7,0
177000,6,8,1
178000,5,8,0
179000,1,5,0
180000,1,5,0
181000,3,8,0
182000,2,7,0
183000,5,7,0
184000,4,5,0
185000,1,8,0
186000,2,6,0
187000,5,7,1
188000,5,6,1
189000,1,6,0
190000,5,6,1
191000,5,7,1
192000,5,6,1
193000,1,8,0
194000,3,6,0
195000,3,5,0
196000,4,5,1
197000,2,4,0
198000,7,8,0
199000,4,8,0
200000,4,5,1
201000,4,7,0
202000,1,2,0
203000,1,7,0
204000,1,7,0
205000,3,4,1
206000,2,4,1
207000,2,6,0
208000,1,4,0
209000,1,8,0
210000,6,7,1
211000,3,7,0
212000,6,8,0
213000,3,8,0
214000,4,7,0
215000,3,8,0
216000,4,7,0
217000,2,5,0
