generation,leftchild,rightchild,abstime,betainit,betashift
0,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.5,0
30000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00183453,0.0105866
30000,Mesoplodon_bidens_X92538,Mesoplodon_mirus_AY579552,29.1406,0.00877142,-0.0252526
60000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00209724,-0.00384228
90000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00185177,0.0276684
120000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00260056,-0.00891095
120000,Balaenoptera_musculus,NA,29.7745,0.00493654,0.0197953
120000,Balaenoptera_musculus,NA,34.8138,0.00876793,-0.0209751
150000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00242434,0.0142223
150000,Physeter_catodon_X75589,NA,16.8117,0.00595461,0.00440983
150000,Platanista_gangetica_AF304070_,Mesoplodon_europaeus_X92537,6.57567,0.000816415,0.0247101
180000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00349752,-0.0128486
210000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00321697,-0.0094686
240000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00139209,0.0296325
240000,Orcinus_orca_AF084061,NA,34.965,0.00862509,-0.0539477
270000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00136366,0.0177521
270000,Platanista_gangetica_AF304070_,Platanista_minor_X92543,24.2763,0.00297355,-0.00184541
270000,Feresa_attenuata_AF084052,NA,36.0113,0.0202602,0.0256507
270000,Orcinus_orca_AF084061,NA,35.4725,0.0201074,-6.51139e-05
270000,Phocoena_spinipinnis_PSU09676,NA,35.2179,0.000358358,0.0103477
270000,Monodon_monoceros_MMU72038,Delphinapterus_leucas_DLU72037,26.096,0.00443018,-0.0328547
300000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00189216,0.00498279
300000,Lagenorhynchus_acutus_AF084075,NA,32.6151,0.000538938,-0.0533184
300000,Orcinus_orca_AF084061,NA,35.5662,0.0239949,-0.0170013
330000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00616356,-0.035835
330000,Mesoplodon_bowdoini_AY579536,NA,30.2816,0.000543374,-0.0254804
330000,Phocoena_dioptrica_ADU09681,NA,33.0221,0.00755897,0.0663136
360000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00322013,-0.026437
360000,Physeter_catodon_X75589,NA,19.7085,0.00555664,0.0140649
360000,Orcinus_orca_AF084061,NA,34.6936,0.025703,-0.0176787
