generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-37.4115,-154.713,1,0
30000,1,12.0453,146.502,0.672818,0.254758
60000,0,6.6348,155.821,0.187387,0.26415
90000,0,5.46888,131.014,0.989499,0.236967
120000,2,17.8909,154.935,1.26134,0.267731
150000,2,18.6763,150.601,1.13387,0.282018
180000,0,5.50845,150.614,1.11502,0.234367
210000,0,5.66222,145.985,1.02431,0.245433
240000,1,10.5631,152.642,0.647397,0.229967
270000,5,33.9394,171.901,2.72405,0.240733
300000,2,16.6573,151.914,0.464008,0.230767
330000,2,14.4558,161.005,2.09337,0.260843
360000,3,20.3277,163.928,2.23189,0.2395
390000,1,8.59117,151.793,1.87961,0.336561
420000,2,17.2329,130.214,0.100395,0.248633
450000,0,4.25649,119.941,1.22689,0.259256
480000,1,7.5902,147.707,0.960625,0.271011
510000,1,10.0185,150.019,0.348826,0.2769
540000,3,24.1537,151.323,1.74443,0.2393
570000,1,8.34021,163.734,1.07158,0.2527
600000,0,5.66692,134.786,0.00483521,0.30876
630000,2,15.1869,169.702,1.91488,0.244033
660000,0,5.7712,163.927,0.548255,0.239667
690000,3,17.9705,159.687,3.03384,0.2511
720000,1,11.236,150.547,0.274173,0.241633
750000,1,6.18188,165.863,2.46016,0.255333
780000,2,13.8486,167.467,1.05237,0.238333
810000,3,18.9333,157.715,1.27263,0.350614
840000,1,9.26502,144.934,1.89972,0.295912
870000,2,12.6703,169.893,1.80497,0.239167
900000,2,15.3941,157.952,1.58487,0.247967
930000,1,12.27,151.738,1.39155,0.2412
960000,1,12.9378,146.371,0.178101,0.242267
990000,0,6.37575,138.488,0.000717932,0.286595
1020000,1,10.0467,161.295,1.55601,0.2392
1050000,0,5.78432,137.103,0.464779,0.2448
1080000,0,4.73647,136.201,1.07967,0.2376
1110000,2,12.4427,157.516,3.59053,0.249167
1140000,0,6.43263,148.499,0.0386861,0.2515
1170000,1,12.3206,154.046,0.352639,0.2449
1200000,4,28.4424,159.504,1.34226,0.31064
1230000,1,11.1113,170.267,0.365342,0.232167
1260000,0,5.56582,142.061,0.665424,0.330999
1290000,2,18.0507,136.845,0.923087,0.247033
1320000,1,7.19344,145.377,5.13265,0.253033
1350000,1,10.3219,142.907,1.31892,0.322128
1380000,3,22.3666,143.38,2.09239,0.241333
1410000,0,6.39777,134.856,0.368752,0.249533
1440000,1,12.7003,152.691,0.421871,0.233967
1470000,3,21.2996,160.837,1.41806,0.225567
1500000,1,10.8451,152.385,0.841243,0.26424
1530000,1,11.705,153.974,0.827401,0.239833
1560000,2,15.5515,150.417,1.18845,0.2469
1590000,1,9.56616,142.718,1.02413,0.306813
1620000,1,10.9821,139.527,1.35784,0.2421
1650000,1,10.7966,156.32,0.316255,0.243133
1680000,3,23.3618,140.921,1.15709,0.2369
1710000,2,13.8579,160.625,0.456119,0.242267
1740000,0,5.98847,144.382,0.63363,0.324482
1770000,2,15.7173,155.883,0.721594,0.322675
1800000,2,17.7713,148.729,0.31776,0.34423
1830000,1,11.0689,169.593,0.708471,0.2424
1860000,3,21.8899,145.203,1.24299,0.355445
1890000,0,5.94969,146.408,0.474096,0.254567
1920000,1,11.1247,172.564,0.393012,0.26225
1950000,2,17.126,150.263,0.457722,0.242933
1980000,1,7.93724,137.63,0.422497,0.2552
2010000,1,10.3292,158.013,0.308117,0.2657
2040000,1,12.0504,145.147,0.79538,0.299477
2070000,0,6.02886,146.265,0.0386205,0.243867
2100000,2,9.94644,160.293,3.84087,0.292524
2130000,4,25.7329,163.608,2.25397,0.2494
2160000,0,4.91853,144.304,0.569593,0.258533
2190000,0,3.86859,137.787,0.185202,0.299733
2220000,1,10.6373,151.609,0.543958,0.256467
2250000,3,20.8232,140.984,2.33883,0.256178
2280000,3,22.2019,153.132,0.994698,0.242967
2310000,1,10.2609,149.768,2.08301,0.328407
2340000,0,6.36839,134.313,0.140177,0.2397
2370000,0,6.45667,152.472,0.269003,0.352134
2400000,8,50.8836,159.472,4.57291,0.239233
2430000,0,5.6449,150.157,1.06649,0.239633
2460000,6,34.5605,163.587,4.51152,0.250083
