generation,rank_1,rank_2,swapAccepted
1000,2,3,0
2000,1,2,1
3000,2,4,0
4000,3,6,1
5000,5,6,1
6000,3,4,0
7000,5,6,1
8000,4,5,1
9000,6,8,1
10000,6,8,0
11000,3,6,0
12000,2,3,0
13000,3,6,0
14000,3,6,0
15000,1,3,0
16000,3,4,0
17000,3,4,1
18000,6,8,0
19000,1,2,0
20000,4,8,0
21000,1,7,0
22000,2,8,0
23000,1,2,1
24000,3,5,1
25000,4,5,0
26000,4,5,1
27000,1,5,0
28000,1,7,0
29000,1,2,0
30000,2,8,0
31000,5,6,1
32000,1,5,0
33000,4,7,0
34000,1,8,0
35000,4,6,1
36000,5,7,0
37000,2,6,0
38000,5,6,0
39000,2,8,0
40000,1,6,0
41000,1,6,0
42000,1,8,0
43000,4,5,0
44000,1,4,0
45000,2,4,1
46000,2,4,1
47000,1,2,0
48000,3,6,0
49000,5,8,0
50000,6,7,0
51000,2,6,0
52000,2,4,0
53000,3,4,1
54000,1,3,0
55000,3,7,0
56000,2,8,0
57000,3,8,0
58000,2,6,0
59000,3,4,1
60000,5,6,1
61000,1,7,0
62000,5,7,0
63000,5,6,1
64000,5,6,1
65000,6,8,0
66000,2,5,0
67000,6,8,0
68000,1,8,0
69000,3,5,0
70000,4,7,0
71000,3,4,0
72000,4,8,0
73000,6,7,1
74000,2,3,0
75000,1,8,0
76000,3,4,1
77000,1,6,0
78000,3,4,0
79000,1,8,0
80000,2,5,0
81000,3,4,0
82000,2,5,0
83000,4,8,0
84000,2,7,0
85000,4,8,0
86000,4,7,0
87000,5,7,0
88000,6,8,0
89000,6,8,0
90000,4,5,1
91000,5,6,0
92000,1,5,0
93000,5,8,0
94000,2,4,1
95000,2,6,0
96000,4,8,0
97000,3,8,0
98000,5,7,0
99000,1,7,0
100000,1,8,0
101000,1,4,0
102000,5,8,0
103000,1,2,0
104000,4,7,0
105000,4,6,0
106000,4,6,0
107000,2,8,0
108000,1,5,0
109000,4,7,1
110000,5,6,1
111000,5,7,0
112000,3,8,0
113000,1,3,0
114000,3,8,0
115000,5,8,0
116000,6,7,0
117000,7,8,1
118000,6,8,0
119000,1,8,0
120000,6,7,1
121000,2,3,1
122000,1,7,0
123000,2,6,0
124000,7,8,0
125000,1,2,0
126000,2,5,0
127000,6,8,0
128000,3,5,0
129000,3,5,0
130000,3,8,0
131000,4,6,0
132000,1,6,0
133000,4,7,0
134000,3,7,0
135000,4,8,0
136000,3,8,0
137000,2,3,0
138000,2,7,0
139000,1,7,0
140000,4,5,0
141000,2,5,0
142000,3,6,0
143000,3,8,0
144000,2,4,0
145000,3,7,0
146000,1,3,0
147000,1,5,0
148000,1,2,0
149000,1,4,0
150000,2,6,0
151000,5,6,1
152000,3,7,0
153000,3,5,1
154000,3,6,0
155000,4,7,0
156000,1,4,0
157000,3,7,0
158000,1,3,0
159000,4,5,1
160000,5,7,0
161000,5,8,1
162000,1,3,0
163000,4,5,0
164000,4,6,1
165000,3,7,0
166000,5,8,0
167000,1,2,1
168000,1,4,0
169000,3,5,0
170000,6,7,1
171000,1,4,0
172000,1,2,1
173000,1,3,0
174000,1,7,0
175000,4,7,0
176000,5,7,0
177000,3,8,0
178000,3,4,1
179000,2,3,0
180000,2,3,1
181000,1,4,0
182000,6,7,0
183000,2,7,0
184000,2,5,0
185000,3,4,1
186000,6,8,0
187000,2,7,0
188000,7,8,1
189000,4,8,0
190000,7,8,1
191000,2,7,0
192000,2,8,0
193000,3,4,0
194000,1,2,0
195000,1,8,0
196000,5,8,0
197000,6,8,0
198000,3,7,0
199000,3,8,0
200000,5,8,0
201000,5,7,0
202000,4,6,0
203000,4,7,0
204000,4,7,0
205000,1,5,0
206000,1,6,0
207000,1,2,1
208000,4,6,0
209000,3,4,1
210000,1,7,0
211000,1,5,0
212000,4,7,0
213000,4,5,1
214000,1,6,0
215000,4,5,1
216000,1,6,0
217000,2,8,0
