generation,leftchild,rightchild,abstime,betainit,betashift
0,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.5,0
30000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00143961,0.0152195
30000,Stenella_longirostris_AF084103,Orcaella_brevirostris_AF084063,21.646,0.00291847,0.0384988
30000,Lipotes_vexillifer_AF304071,NA,22.5299,0.000790955,-0.088715
30000,Caperea_marginata_X75586,NA,35.1645,0.0038345,-0.0541325
60000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00164892,-0.000407911
90000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00212426,0.0157284
120000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00142688,0.0225104
150000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00249107,-0.00495883
150000,Inia_geoffrensis_geoffrensis_AF334485,Inia_geoffrensis_boliviensis_AF334487,32.0156,0.0125426,-0.046797
150000,Orcaella_brevirostris_AF084063,Orcinus_orca_AF084061,29.1626,0.00517742,0.0107613
150000,Inia_geoffrensis_geoffrensis_AF334485,Pontoporia_blainvillei_AF334488,18.5479,0.031895,-0.0168165
150000,Caperea_marginata_X75586,NA,25.8075,0.00355603,0.0207794
180000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00310804,0.0079102
180000,Globicephala_macrorhynchus_AF084055,NA,36.8764,0.0175218,-0.0172265
210000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00480459,-0.0232326
240000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00175258,0.0114148
240000,Orcaella_brevirostris_AF084063,Orcinus_orca_AF084061,29.9975,0.00739745,-0.0113186
240000,Balaenoptera_musculus,NA,35.0334,0.0666127,0.0364303
270000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00238555,0.0322814
270000,Mesoplodon_europaeus_X92537,NA,27.4464,0.00538021,-0.0102326
270000,Mesoplodon_europaeus_X92537,Hyperoodon_planifrons_AY579559,9.2837,0.000734948,-0.00271411
270000,Orcinus_orca_AF084061,NA,33.6246,0.0102235,0.00214927
270000,Caperea_marginata_X75586,NA,16.7376,0.00130415,0.0520538
270000,Sotalia_fluviatilis_AF304067,NA,33.2873,0.00533453,-0.0328547
300000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00202038,0.0196531
330000,Kogia_breviceps_KBU72040_,Balaena_mysticetus,0,0.00161575,0.0354415
330000,Berardius_bairdii_X92541,Berardius_arnuxii_AY579565,25.5608,0.00782091,-0.0255994
330000,Mesoplodon_europaeus_X92537,Hyperoodon_planifrons_AY579559,13.3381,0.000555091,-0.0399746
330000,Phocoena_dioptrica_ADU09681,Phocoena_spinipinnis_PSU09676,30.1629,0.00903651,-0.0408811
