generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-38.1047,-154.713,2,0
30000,3,19.3792,137.618,1.55076,0.295667
60000,0,6.0447,162.531,0.261534,0.2424
90000,0,5.65811,150.218,0.698503,0.246
120000,0,5.93114,156.74,0.00752153,0.234167
150000,4,26.9312,151.984,2.0782,0.239633
180000,1,10.9342,126.593,0.841028,0.236233
210000,0,5.36298,153.423,0.523249,0.336265
240000,2,11.9591,151.75,1.9806,0.229567
270000,5,35.1586,141.745,2.95766,0.246389
300000,0,5.00529,141.976,1.87973,0.330702
330000,5,32.0287,152.495,4.40834,0.245233
360000,4,26.0848,141.977,2.78542,0.237067
390000,0,5.97324,132.489,0.206145,0.242467
420000,3,24.2006,147.429,2.09914,0.248967
450000,2,18.5621,160.353,1.89715,0.261033
480000,1,9.86284,135.706,0.46386,0.240833
510000,2,17.0802,150.644,2.16779,0.247833
540000,1,11.4429,149.247,1.13935,0.239767
570000,3,17.3939,153.697,3.26731,0.248167
600000,0,4.00572,144.823,0.0165045,0.324638
630000,0,5.98715,146.692,0.262324,0.253317
660000,3,21.1867,135.526,1.09411,0.281315
690000,2,16.8099,152.867,2.36318,0.244683
720000,8,49.7836,156.432,5.44158,0.236333
750000,2,14.5333,154.331,2.26141,0.247533
780000,3,22.0954,145.064,2.7022,0.243733
810000,0,4.47012,149.016,1.29044,0.2545
840000,0,4.63991,146.499,0.110427,0.295439
870000,8,52.1863,159.393,5.5376,0.257567
900000,4,24.6617,166.939,2.39117,0.253389
930000,8,47.664,165.935,6.90928,0.247
960000,4,25.7169,137.861,3.48282,0.256867
990000,0,4.84271,153.748,2.49682,0.316346
1020000,1,11.2405,156.825,1.51189,0.244667
1050000,4,25.8163,167.056,5.68934,0.251767
1080000,3,19.307,149.441,3.54875,0.236867
1110000,6,32.4862,157.199,4.95014,0.256
1140000,7,41.565,153.29,5.82026,0.242567
1170000,1,9.03257,162.404,0.338087,0.2539
1200000,3,19.9584,160.037,2.59062,0.2536
1230000,0,5.04635,140.558,1.44705,0.314726
1260000,4,23.7092,155.73,4.39006,0.251633
1290000,16,91.5403,173.303,10.4429,0.296624
1320000,2,16.2202,157.717,1.42036,0.251233
1350000,1,10.8034,156.84,0.537662,0.340391
1380000,3,17.9165,149.45,3.03043,0.240267
1410000,5,31.1332,134.826,5.04033,0.303058
1440000,4,27.7222,166.881,4.20786,0.252333
1470000,4,24.1881,154.878,3.20373,0.238433
1500000,9,48.5339,132.462,5.19459,0.2612
1530000,4,26.9054,160.452,2.72372,0.254633
1560000,3,19.5589,162.027,1.41617,0.2505
1590000,5,25.3617,164.353,4.70554,0.354226
1620000,1,8.82627,142.517,1.51693,0.258667
1650000,4,21.5441,165.553,1.92828,0.2576
1680000,3,20.21,153.27,1.65919,0.285889
1710000,3,22.4282,154.682,2.76018,0.248933
1740000,0,5.41678,150.92,1.27531,0.341639
1770000,0,5.83812,148.15,0.218705,0.243567
1800000,2,16.8763,145.055,0.494493,0.30494
1830000,0,5.07343,142.607,0.62042,0.284981
1860000,3,21.3127,151.568,3.60314,0.251833
1890000,6,36.0854,169.312,4.16018,0.339625
1920000,3,18.3169,149.948,2.62516,0.251233
1950000,5,32.3045,165.119,1.78816,0.245533
1980000,3,17.7658,156.244,0.91166,0.264333
2010000,3,17.3715,171.214,1.88976,0.253967
2040000,3,21.8522,172.156,1.37696,0.2559
2070000,8,44.4402,166.427,5.75466,0.250467
2100000,3,15.2115,171.904,3.0802,0.2518
2130000,4,29.1862,159.572,2.64568,0.344857
2160000,1,8.33848,149.384,0.248165,0.243467
2190000,1,12.2017,155.517,0.441041,0.241067
2220000,0,4.52856,151.695,0.310226,0.260933
2250000,2,14.3587,145.141,4.56044,0.307515
2280000,0,6.00557,147.397,0.159531,0.267622
2310000,6,31.9448,167.909,2.55128,0.273989
2340000,2,16.2811,153.909,1.15351,0.2432
2370000,2,10.6755,152.746,0.717356,0.260433
2400000,8,43.3364,170.261,3.37475,0.2617
2430000,6,35.2839,174.038,1.84319,0.238033
2460000,2,11.8017,148.356,1.15579,0.257095
2490000,0,5.98796,152.98,0.307412,0.237533
2520000,4,24.6388,149.415,3.01253,0.261811
2550000,12,67.4312,169.943,10.2594,0.321503
2580000,3,21.0699,160.509,2.82353,0.244467
2610000,3,19.8984,160.94,3.36362,0.2356
2640000,4,29.6063,142.632,3.01723,0.261967
2670000,0,5.33318,147.296,0.0299785,0.2523
2700000,1,7.77931,133.871,0.148248,0.360023
2730000,7,42.6929,149.994,5.99742,0.254283
2760000,0,5.42273,150.611,0.573821,0.2396
2790000,2,15.7269,160.444,4.38135,0.2455
2820000,0,3.92646,147.165,0.830152,0.322094
2850000,1,8.15822,144.674,1.01837,0.2769
2880000,5,30.8711,177.447,4.30372,0.242067
2910000,3,20.4624,163.018,2.74119,0.259
2940000,6,38.4342,169.547,4.18513,0.246767
2970000,4,26.2977,171.288,3.0755,0.246733
3000000,4,25.7008,163.387,2.07606,0.2523
3030000,3,17.052,174.822,2.3343,0.249533
3060000,0,3.88773,149.23,1.03941,0.246467
3090000,2,15.0268,144.251,1.27647,0.2554
3120000,4,23.5951,158.039,2.26074,0.262133
3150000,1,9.08285,135.782,0.353246,0.339954
3180000,1,10.308,157.05,1.15777,0.263433
3210000,2,17.8569,162.305,0.729607,0.254867
3240000,11,60.4774,168.293,9.44965,0.243767
3270000,1,10.7014,154.886,1.23394,0.306943
3300000,8,47.8339,159.383,6.93274,0.243567
3330000,2,15.6158,149.697,2.36204,0.242567
3360000,3,17.9449,160.442,3.09615,0.342455
3390000,2,16.3254,172.215,1.84897,0.255533
3420000,3,22.159,158.565,1.97098,0.237767
3450000,5,28.9763,149.609,3.52879,0.256467
3480000,6,40.147,160.641,4.64719,0.252767
3510000,1,11.7459,157.957,0.234398,0.254667
3540000,0,5.66492,117.877,0.645139,0.2403
3570000,4,30.7066,151.048,2.2668,0.312113
3600000,2,15.0135,160.015,3.06605,0.247867
3630000,1,10.0363,149.203,1.28401,0.2537
3660000,0,5.82566,143.471,0.0503403,0.251233
3690000,1,10.7915,156.69,1.67051,0.252633
3720000,10,62.761,169.648,6.93531,0.246867
3750000,4,25.3531,160.076,3.98856,0.2315
3780000,7,37.558,152.711,5.64719,0.308158
3810000,4,25.0567,167.393,1.45966,0.252967
3840000,2,16.453,150.835,2.21223,0.2541
3870000,6,41.4934,158.417,2.85398,0.258
3900000,3,20.5421,115.247,1.26706,0.249467
3930000,0,5.51907,150.833,0.41078,0.265333
3960000,0,5.67997,138.13,0.692589,0.2394
3990000,2,13.9061,167.056,1.83173,0.343967
4020000,4,25.7882,168.501,1.60451,0.252067
4050000,2,18.665,173.033,1.02515,0.225067
4080000,4,22.5938,180.431,6.10768,0.242567
4110000,1,10.9992,142.042,0.758598,0.232533
4140000,4,25.6251,169.467,2.781,0.236967
4170000,3,23.0124,152.578,2.71923,0.236533
4200000,10,60.451,157.764,8.83738,0.247633
4230000,1,11.6933,164.582,1.22942,0.2539
4260000,3,23.0765,150.28,0.859937,0.255167
4290000,0,4.02364,145.123,0.746653,0.251933
4320000,0,4.99489,148.948,0.576728,0.280842
4350000,2,16.8779,152.495,2.44508,0.251667
4380000,8,47.7905,176.771,5.52475,0.330084
4410000,6,31.8883,156.046,5.45491,0.253633
