species,generalist
Kogia_breviceps_KBU72040_,0
Kogia_simus_AF304072,0
Physeter_catodon_X75589,0
Platanista_gangetica_AF304070_,1
Platanista_minor_X92543,1
Mesoplodon_europaeus_X92537,1
Mesoplodon_bowdoini_AY579536,0
Mesoplodon_stejnegeri_AY579554,0
Mesoplodon_grayi_AY579546,1
Mesoplodon_densirostris_X92536,1
Mesoplodon_hectori_AY228109_,0
Mesoplodon_bidens_X92538,1
Mesoplodon_mirus_AY579552,0
Mesoplodon_layardii_AY579550,0
Hyperoodon_planifrons_AY579559,0
Hyperoodon_ampullatus_X92539,0
Berardius_bairdii_X92541,1
Berardius_arnuxii_AY579565,1
Ziphius_cavirostris_AF304075_,0
Stenella_longirostris_AF084103,1
Sousa_chinensis_AF084080,1
Stenella_attenuata_AF084096,1
Lagenodelphis_hosei_AF084099_,1
Delphinus_delphis_AF084085_,1
Stenella_clymene_AF084083,1
Stenella_coeruleoalba_AF084082_,1
Stenella_frontalis_AF084090,1
Tursiops_truncatus_AF084095_,1
Sotalia_fluviatilis_AF304067,1
Steno_bredanensis_AF084077,1
Lissodelphis_borealis_AF084064,1
Lagenorhynchus_obliquidens_AF084067,1
_Lagenorhynchus_obscurus_AY257161,1
Cephalorhynchus_heavisidii_AF084070_,1
Cephalorhynchus_commersonii_AF084073,1
Cephalorhynchus_hectori_AF084071,1
Lagenorhynchus_australis_AF084069,1
Lagenorhynchus_cruciger_AF084068,1
Lagenorhynchus_albirostris,1
Lagenorhynchus_acutus_AF084075,1
Feresa_attenuata_AF084052,1
Globicephala_macrorhynchus_AF084055,0
Globicephala_melas_AF084056,0
Grampus_griseus_AF084059,0
Orcaella_brevirostris_AF084063,1
Orcinus_orca_AF084061,0
Phocoenoides_dalli_PDU09679,1
Phocoena_phocoena_PPU72039,1
Phocoena_dioptrica_ADU09681,1
Phocoena_spinipinnis_PSU09676,1
Phocoena_sinus_AF084051,1
Neophocaena_phocaenoides_AF334489,1
Monodon_monoceros_MMU72038,1
Delphinapterus_leucas_DLU72037,1
Lipotes_vexillifer_AF304071,1
Inia_geoffrensis_geoffrensis_AF334485,1
Inia_geoffrensis_boliviensis_AF334487,1
Pontoporia_blainvillei_AF334488,1
Balaena_mysticetus,0
Eubalaena_australis,0
Balaena_glacialis_X75587,0
Balaenoptera_acutorostrata,0
Balaenoptera_musculus,0
Balaenoptera_borealis_X75582,0
Balaenoptera_edeni_X75583,0
Balaenoptera_omurai,0
Eschrichtius_robustus_X75585,0
Balaenoptera_physalus,0
Megaptera_novaeangliae_X75584,0
Caperea_marginata_X75586,0
