generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-2.54099,-461.674,30,1
30000,9,30.7226,-19.4396,11.2874,0.239
60000,21,81.1694,1.2772,20.9942,0.2209
90000,11,38.0446,12.6425,7.19244,0.221333
120000,8,29.4934,15.5055,9.48838,0.2172
150000,30,102.774,37.827,19.2373,0.2155
180000,16,61.39,19.4101,14.8877,0.2224
210000,18,76.6078,-0.762898,18.2164,0.224185
240000,25,90.2605,55.1156,27.3102,0.218967
270000,34,116.658,36.6696,34.9952,0.216367
300000,17,65.7605,25.3447,16.8195,0.206433
330000,11,35.4536,21.6419,11.195,0.222013
360000,18,59.2533,56.1096,16.8079,0.208633
390000,24,88.2834,49.8739,19.0099,0.2163
420000,19,59.3057,41.6654,21.4152,0.2102
450000,12,39.6516,32.5131,8.63403,0.210233
480000,17,60.5313,43.5152,30.5084,0.221533
510000,22,73.3363,78.5685,18.9416,0.207133
540000,37,134.248,19.8767,33.7601,0.206867
570000,30,103.261,18.5042,25.0949,0.221167
600000,31,108.838,68.8594,37.8844,0.2143
630000,20,73.9756,21.4031,22.4718,0.222767
660000,28,111.924,39.3967,32.0892,0.227133
690000,21,78.4837,60.0965,23.5076,0.213267
720000,22,71.5073,43.2494,30.1347,0.213467
750000,32,119.79,52.9999,25.6702,0.213333
780000,17,59.6301,36.093,23.4987,0.215
810000,22,76.6721,36.7142,23.1773,0.212667
840000,44,160.416,22.9057,39.3869,0.209533
870000,30,104.784,49.8398,23.5698,0.220633
900000,26,89.1993,36.0506,21.558,0.2086
930000,27,80.2959,65.0226,36.2776,0.208767
960000,27,92.2239,23.832,21.5473,0.220367
990000,20,71.3511,50.7395,25.4533,0.213867
1020000,29,101.59,27.936,35.7762,0.205433
1050000,34,114.715,51.6729,35.575,0.2122
1080000,33,108.582,28.0627,21.1447,0.205167
1110000,15,47.8298,58.5102,12.2944,0.2058
1140000,26,90.1936,57.6176,29.6577,0.209167
1170000,28,108.368,47.7535,29.6723,0.208567
1200000,15,56.4249,46.3471,22.2439,0.212233
1230000,35,114.86,36.7524,50.6724,0.2205
1260000,34,109.876,50.4158,30.7589,0.213533
1290000,37,129.14,61.976,35.8676,0.2151
1320000,45,160.31,68.0631,42.6327,0.204933
1350000,43,136.126,98.6616,43.4258,0.201833
1380000,60,205.007,85.4484,52.7102,0.2048
1410000,53,177.545,87.4842,49.4925,0.2073
1440000,32,110.269,106.402,27.0363,0.194933
1470000,40,129.008,65.6846,50.2765,0.195767
1500000,31,111.658,70.7715,38.6588,0.2005
1530000,26,93.6082,49.0803,28.3152,0.206133
1560000,25,91.9129,80.7239,32.384,0.199267
1590000,34,118.79,69.3369,32.9162,0.199533
1620000,26,83.9272,92.4304,22.6945,0.2092
1650000,22,82.5259,89.5196,25.4963,0.2001
1680000,22,78.1269,44.6197,17.0665,0.200767
1710000,30,103.344,64.5319,26.8967,0.2143
1740000,34,119.98,69.01,27.243,0.2015
1770000,50,184.732,46.7326,43.6519,0.2196
1800000,26,93.5245,61.8515,24.6718,0.204633
1830000,35,117.244,42.9765,27.3931,0.2149
1860000,27,99.1511,42.0992,16.0137,0.2154
1890000,27,95.6315,92.4786,26.4898,0.211633
1920000,26,89.9975,59.652,24.3753,0.209967
1950000,22,79.1239,57.9483,22.1991,0.220767
1980000,37,135.533,83.0363,38.3246,0.207033
2010000,27,101.491,45.9538,19.3028,0.203467
2040000,21,78.792,73.7882,29.359,0.216
2070000,36,139.075,37.7175,40.8433,0.213367
2100000,35,142.925,37.2623,34.529,0.215333
2130000,23,71.2684,34.74,17.5898,0.218867
2160000,27,86.908,62.5946,26.4474,0.204733
2190000,25,83.5056,53.5721,28.556,0.2157
2220000,31,114.354,31.1888,29.2044,0.210767
2250000,6,25.4789,8.41849,10.6699,0.232764
2280000,16,54.0767,55.2247,13.6464,0.21625
2310000,11,39.7211,42.553,12.5778,0.209
2340000,26,86.5021,21.3292,18.8156,0.213533
2370000,21,62.7685,56.5714,22.271,0.2196
2400000,12,40.0006,33.5265,18.6456,0.216033
2430000,22,68.331,28.5671,18.0758,0.210367
2460000,23,84.151,70.0189,15.086,0.2034
2490000,16,52.4122,40.742,16.5332,0.209433
2520000,33,121.987,33.29,33.2294,0.2104
2550000,49,165.776,105.511,59.2748,0.203367
2580000,41,135.932,84.8391,35.4386,0.200033
2610000,17,49.7618,93.3753,22.749,0.1891
2640000,19,65.7687,86.8537,21.785,0.1996
2670000,16,50.7014,60.9003,18.3956,0.199433
2700000,14,52.4976,92.7787,10.6164,0.204367
2730000,18,63.4584,73.3928,15.3882,0.207833
2760000,22,79.809,88.9425,21.586,0.1997
2790000,19,65.8709,43.7094,18.9895,0.209467
2820000,26,87.1428,36.5457,30.3904,0.213233
2850000,27,89.5932,47.1322,19.7337,0.217967
2880000,10,37.3917,45.5224,11.06,0.209167
2910000,22,85.3599,34.7425,27.4772,0.2047
2940000,19,70.8358,66.592,18.9258,0.2103
2970000,28,102.651,36.7327,25.7999,0.2029
3000000,19,66.7068,30.9365,14.2533,0.214133
3030000,16,57.0978,39.0095,20.08,0.213867
3060000,27,88.5647,27.5263,25.0862,0.211367
3090000,16,62.088,41.3876,27.7939,0.206967
3120000,25,82.8094,56.2204,26.1949,0.2101
3150000,21,58.6818,61.6063,23.8748,0.2173
3180000,22,76.4008,46.2319,27.5526,0.2061
3210000,13,49.0145,36.3354,15.3625,0.204533
3240000,17,61.3968,53.7744,25.5153,0.2138
3270000,32,112.631,51.1816,23.7168,0.218167
3300000,19,65.9598,46.9809,15.5766,0.224261
3330000,10,32.0674,23.0342,9.31778,0.2065
3360000,19,64.7789,46.9576,22.8216,0.2096
3390000,27,89.567,37.2938,26.6123,0.213767
3420000,20,70.6684,37.7472,16.7192,0.210033
3450000,21,69.3547,59.8966,19.1476,0.198767
3480000,20,59.1807,30.5495,20.0397,0.204567
3510000,19,67.4707,53.736,21.5288,0.213067
3540000,17,58.7201,22.434,18.8189,0.214333
3570000,23,79.9669,4.93588,27.534,0.213533
3600000,22,73.8174,55.2543,17.8233,0.2152
3630000,21,69.3182,59.582,29.2218,0.207167
3660000,29,101.961,29.5055,38.3872,0.207333
3690000,19,60.873,44.483,23.2841,0.218667
3720000,18,67.6488,36.048,12.2925,0.2156
3750000,15,53.5583,36.4022,13.6183,0.210567
3780000,23,74.1525,56.1198,12.9981,0.213633
3810000,16,51.4718,61.154,15.9283,0.2112
3840000,27,92.4208,32.2025,34.2251,0.210133
3870000,12,40.6486,40.9711,11.4014,0.208267
3900000,12,40.3559,49.9343,10.2959,0.209267
3930000,14,45.2903,39.756,19.3818,0.215033
3960000,32,102.622,26.2448,41.1191,0.218133
3990000,23,86.7702,35.2186,26.5872,0.223733
4020000,16,57.2448,39.1747,26.4501,0.214867
4050000,30,103.959,58.5328,28.2427,0.2069
4080000,21,75.907,56.1107,21.5428,0.2092
4110000,16,55.6774,51.7957,20.0619,0.207267
4140000,28,95.8884,44.1463,25.5305,0.210433
4170000,16,57.1273,55.1548,22.05,0.206367
4200000,22,77.857,48.5229,21.0116,0.211133
4230000,17,63.9252,26.8629,14.2157,0.217633
4260000,38,128.817,46.6602,34.9571,0.2167
4290000,37,128.459,80.7771,40.736,0.209633
4320000,27,94.8827,57.3136,25.0979,0.209567
4350000,21,70.5039,45.9868,16.0414,0.210933
4380000,39,132.924,60.7845,38.7807,0.214633
4410000,25,85.5924,28.7855,26.3307,0.210367
4440000,20,66.1144,7.93552,21.8622,0.22
4470000,10,36.2548,45.6377,13.1527,0.217667
4500000,16,59.7209,40.6374,17.2711,0.215633
4530000,24,89.4125,51.3466,19.1196,0.211133
4560000,12,45.2376,18.6537,9.72295,0.211367
4590000,28,99.0188,59.5817,31.5251,0.214867
4620000,12,45.6442,33.4167,9.36095,0.211467
4650000,22,83.5853,33.1096,17.2673,0.213767
4680000,24,87.9546,34.676,30.1306,0.212
4710000,25,89.9109,34.7608,20.6331,0.205433
4740000,17,55.221,26.8936,18.3039,0.215767
4770000,32,112.708,85.5884,29.6422,0.208
4800000,13,47.7335,64.527,16.7906,0.202667
4830000,11,39.6086,16.1066,10.0992,0.213867
4860000,20,59.6185,27.3051,19.9109,0.219533
4890000,24,86.8342,10.8521,22.6858,0.2112
4920000,16,58.5548,51.1792,13.8055,0.215267
4950000,17,46.0959,22.2817,19.1842,0.210333
4980000,16,52.6066,40.8974,17.1227,0.204433
5010000,31,111.294,38.5654,31.024,0.213633
5040000,35,132.549,33.0348,45.3314,0.2105
5070000,38,132.867,64.045,47.3973,0.219767
5100000,24,81.9677,39.7716,24.5252,0.2135
5130000,10,28.7341,2.73681,11.3173,0.211667
5160000,16,48.0225,40.8884,19.1638,0.219567
5190000,35,121.726,11.3533,36.7609,0.216933
5220000,27,100.472,50.9167,26.381,0.209667
5250000,34,118.249,43.1855,45.8576,0.215033
5280000,21,66.2032,39.8845,18.5792,0.2184
5310000,27,105.618,55.7003,28.327,0.197767
5340000,23,70.3359,51.9183,21.1723,0.207167
5370000,28,107.197,48.1822,25.5492,0.2139
5400000,19,60.69,52.7333,29.1731,0.205
5430000,25,87.9873,59.6298,18.0844,0.2062
5460000,17,58.9242,28.497,16.2601,0.206633
5490000,22,80.277,39.3932,26.4868,0.212667
5520000,22,76.3236,35.6046,22.2435,0.206567
5550000,26,89.483,57.7081,27.5012,0.207767
5580000,25,87.2084,40.242,32.17,0.210033
5610000,28,100.477,0.98588,30.2931,0.208333
5640000,25,82.0621,26.3865,16.7301,0.208933
5670000,26,90.683,11.3215,23.164,0.2137
5700000,25,86.8712,53.5862,28.9293,0.219267
5730000,27,93.5484,39.7579,21.4269,0.206633
5760000,20,67.764,50.0436,20.3967,0.211933
5790000,26,88.4795,5.61036,19.1131,0.211933
5820000,11,38.2706,35.6944,13.3805,0.217933
5850000,15,46.5277,36.4317,13.0722,0.210167
5880000,13,43.0593,41.9619,14.4153,0.2116
5910000,23,81.3587,27.972,20.9937,0.307938
5940000,22,77.3355,36.4582,25.8199,0.205467
5970000,32,108.354,38.0308,39.4421,0.213567
6000000,37,127.705,61.0604,34.3221,0.223233
6030000,34,122.132,53.2237,26.527,0.2189
6060000,24,84.7315,47.0559,22.062,0.218
6090000,22,80.977,41.8262,19.0251,0.2114
6120000,21,83.1161,34.526,19.0127,0.211667
6150000,25,90.8793,55.9151,32.503,0.210233
6180000,20,75.1049,43.6885,20.5786,0.206467
6210000,33,125.783,59.7619,28.5381,0.2181
6240000,21,77.3566,16.805,20.1197,0.2192
6270000,25,85.5273,12.0019,25.8897,0.22
6300000,16,57.1385,66.7999,13.8247,0.2163
6330000,19,68.4534,62.6922,23.8445,0.209533
6360000,17,65.9389,51.9532,14.7558,0.2007
6390000,21,69.2572,15.191,18.4792,0.253556
6420000,15,47.8638,45.5559,16.4277,0.212367
6450000,11,37.6648,24.2596,13.895,0.206733
6480000,18,54.878,98.6778,23.6367,0.221
6510000,18,65.1922,48.3063,12.4775,0.201767
6540000,16,56.7183,54.645,12.9722,0.2052
6570000,18,63.0445,75.3863,18.5214,0.211467
6600000,25,91.2335,56.5443,24.9206,0.204033
6630000,22,83.7324,43.0555,19.3444,0.207533
6660000,36,132.422,45.7471,26.5914,0.213633
6690000,19,71.3339,37.8399,21.6874,0.204267
6720000,14,50.424,28.4859,13.8835,0.210133
6750000,39,130.535,60.1062,37.7292,0.211033
6780000,14,51.1313,48.048,7.17821,0.215167
6810000,17,61.3743,29.6409,16.0428,0.202533
6840000,21,74.9521,32.1325,21.4551,0.218933
6870000,35,134.932,28.3707,41.4914,0.222667
6900000,26,88.9197,31.28,23.0956,0.2155
6930000,17,60.2756,34.6452,15.2033,0.2043
6960000,17,62.2455,49.4048,15.834,0.2058
6990000,32,111.587,64.5384,32.2017,0.206733
7020000,24,80.331,70.422,31.1624,0.2067
7050000,41,150.668,49.5496,32.74,0.208967
7080000,22,84.635,50.9465,21.5286,0.213067
7110000,15,58.7279,19.9642,15.0661,0.215033
7140000,14,53.4652,25.8337,8.8334,0.206667
7170000,24,93.4296,27.474,18.8718,0.215367
7200000,29,111.691,55.2606,21.5474,0.2112
7230000,18,64.436,54.1224,15.965,0.2079
7260000,21,73.5171,55.8102,24.1904,0.2076
7290000,23,79.9613,60.8511,18.951,0.206167
7320000,32,109.815,11.293,23.0325,0.2099
7350000,31,109.459,48.1868,25.0976,0.208767
7380000,20,79.0007,55.0023,17.2629,0.2164
7410000,23,80.0203,53.2634,16.0909,0.2068
7440000,27,95.7683,34.0143,25.9012,0.212
7470000,17,59.4269,50.0225,17.2332,0.2092
7500000,20,64.4239,53.0526,20.0478,0.2059
7530000,22,75.5282,60.6473,20.0528,0.206533
7560000,24,81.8141,65.7687,20.4275,0.207833
7590000,15,46.8261,53.1102,12.2152,0.206067
7620000,37,125.322,45.5656,34.4622,0.211067
7650000,30,106.234,51.2374,30.1056,0.2092
7680000,41,149.326,64.7571,41.7844,0.213433
7710000,27,100.13,62.9624,21.9808,0.211633
7740000,35,127.878,61.32,30.2319,0.216633
7770000,30,108.937,61.3105,31.4055,0.2077
7800000,24,87.5328,74.7399,22.2912,0.210133
7830000,29,101.275,85.9144,26.5225,0.199967
7860000,33,114.763,68.1121,29.9287,0.2055
7890000,41,148.39,62.5481,35.7054,0.2041
7920000,41,149.52,38.7147,41.7046,0.203767
7950000,34,129.078,68.4292,29.7421,0.210733
7980000,38,142.155,78.8213,39.2317,0.210733
8010000,25,85.2733,87.107,22.8658,0.2016
8040000,27,104.775,62.4372,28.4727,0.199333
8070000,23,81.8917,43.6687,19.0469,0.203633
8100000,29,102.008,80.8571,25.5131,0.211433
8130000,34,122.074,83.0896,34.0134,0.204733
8160000,28,103.835,20.1095,32.2229,0.218167
8190000,27,105.273,48.6498,26.0466,0.211233
8220000,20,75.6402,65.9719,25.1778,0.215567
8250000,31,103.503,38.1269,28.5216,0.221967
8280000,33,123.042,70.0667,31.4343,0.210633
8310000,42,152.24,91.1151,27.8797,0.2161
8340000,21,72.8562,71.7012,24.1646,0.205267
8370000,35,119.114,76.0621,36.6488,0.2004
8400000,33,104.106,70.3786,36.2112,0.205933
8430000,25,83.5359,57.063,19.8807,0.204833
8460000,33,113.836,115.18,30.2641,0.2067
8490000,35,116.114,67.0441,37.5152,0.206433
8520000,31,108.556,67.5087,36.2032,0.2032
8550000,24,81.6633,70.2928,20.7394,0.211033
8580000,23,85.1254,73.3792,23.7928,0.202733
8610000,32,116.015,63.8618,34.6993,0.201133
8640000,18,57.2911,20.7261,18.3806,0.196767
8670000,17,63.6127,25.6973,14.8072,0.2131
8700000,27,99.6478,48.8933,26.2513,0.208467
8730000,20,64.3288,43.867,22.2131,0.2162
8760000,19,59.9795,23.9213,25.4439,0.205033
8790000,13,52.9926,37.7863,8.45498,0.210767
8820000,20,72.06,22.3886,16.7342,0.2209
8850000,21,76.7653,45.3665,20.4485,0.2189
8880000,31,125.778,53.8754,21.1843,0.214933
8910000,49,173.018,71.0799,40.4196,0.218067
8940000,30,116.14,42.2372,33.4621,0.225367
8970000,32,120.66,56.702,30.107,0.215
9000000,26,95.0466,50.8378,21.7926,0.222433
9030000,16,58.7524,42.2515,15.0304,0.2086
9060000,27,91.4903,55.5378,30.0119,0.2178
9090000,18,64.2026,90.7344,23.9543,0.2135
9120000,20,75.9721,68.5717,14.5741,0.202733
9150000,34,127.52,53.385,30.6547,0.203567
9180000,14,46.1654,53.235,8.24107,0.210633
9210000,20,64.8887,45.4791,21.7133,0.209667
9240000,34,121.881,56.8033,32.882,0.216967
9270000,10,39.0401,40.0279,11.364,0.211267
9300000,12,43.5309,50.5994,16.5363,0.210833
9330000,9,30.2257,46.3892,8.43318,0.204633
9360000,30,99.042,38.4076,43.3758,0.2141
9390000,19,68.9778,39.3467,20.6545,0.2083
9420000,20,70.9363,75.0951,18.2893,0.203367
9450000,36,130.555,62.8056,27.2231,0.218933
9480000,24,89.0299,44.1799,23.1883,0.218067
9510000,15,45.588,79.1891,16.0647,0.2071
9540000,26,93.4695,55.3322,20.9091,0.2157
9570000,36,125.627,25.1615,38.7437,0.225033
9600000,23,76.5333,74.4247,19.4594,0.2152
9630000,28,107.261,67.1183,27.7539,0.2202
9660000,39,128.31,56.1945,33.2301,0.206267
9690000,28,97.2267,51.0215,30.0743,0.215467
9720000,27,98.001,39.6351,29.791,0.217667
9750000,27,96.1328,45.7854,29.3429,0.215233
9780000,28,104.557,45.4982,26.116,0.213667
9810000,30,101.392,47.5902,40.2628,0.209567
9840000,38,139.493,27.6881,41.893,0.214
9870000,18,64.5962,35.524,15.5471,0.208467
9900000,15,59.2472,25.5637,18.9798,0.2191
9930000,41,147.648,65.9007,39.094,0.218
9960000,41,154.005,54.9406,45.1816,0.2123
9990000,42,149.566,53.5087,40.6044,0.213233
10020000,22,81.7588,70.8976,24.1206,0.202533
10050000,37,138.218,45.9746,35.1278,0.204133
10080000,19,65.5276,37.8005,14.4648,0.200433
10110000,17,58.1196,63.5559,16.4331,0.209
10140000,20,63.5317,65.581,12.8986,0.206833
10170000,36,123.751,41.7887,42.0678,0.2127
10200000,29,92.3823,30.2098,25.7047,0.215167
10230000,19,61.3907,24.7141,14.1138,0.2119
10260000,20,74.2204,49.0042,23.2043,0.2144
10290000,14,50.0201,54.285,9.93988,0.206
10320000,11,40.6071,65.7344,15.7409,0.1911
10350000,39,133.424,56.2227,36.5754,0.200233
10380000,21,71.2518,45.6262,21.2745,0.216367
10410000,35,126.651,55.8987,43.3442,0.205167
10440000,34,115.297,59.0702,36.2612,0.2081
10470000,27,95.757,47.0896,24.719,0.209033
10500000,35,120.308,57.9493,33.2844,0.208567
10530000,44,167.176,48.4039,37.225,0.2108
10560000,37,136.658,56.5814,37.6216,0.212767
10590000,33,119.144,59.4991,41.2645,0.2099
10620000,36,126.448,44.369,41.6585,0.208567
10650000,46,170.04,42.7598,41.7299,0.214767
10680000,35,136.273,35.6992,34.3677,0.218067
